From	Protein names	Gene Names	Subcellular location	Transmembrane
P92994	Trans-cinnamate 4-monooxygenase (EC 1.14.14.91) (Cinnamic acid 4-hydroxylase) (C4H) (CA4H) (Cytochrome P450 73) (Cytochrome P450C4H) (Protein REDUCED EPIDERMAL FLUORESCENCE 3)	CYP73A5 CYP73 REF3 At2g30490 T6B20.16	Membrane; Single-pass membrane protein.	"TRANSMEM 3..23; /note=""Helical""; /evidence=""ECO:0000255"""
Q9LKR3	Heat shock 70 kDa protein BIP1 (Heat shock 70 kDa protein 11) (Heat shock protein 70-11) (AtHsp70-11) (Luminal-binding protein 1) (AtBP1) (BiP1)	BIP1 HSP70-11 MED37_5 MED37A At5g28540 T26D3.10 T26D3_50	Endoplasmic reticulum lumen. Nucleus.	
Q0WL80	UDP-glucose:glycoprotein glucosyltransferase (EC 2.4.1.-) (EMS-mutagenized BRI1 suppressor 1) (Protein PRIORITY IN SWEET LIFE 2)	UGGT EBS1 PSL2 At1g71220 F23N20 F3I17.13	Endoplasmic reticulum lumen.	
F4HVV7	Transcription regulator	At1g02080 AT1G02080 T7I23.15 T7I23_15	Nucleus.	
Q9LFW1	UDP-arabinopyranose mutase 2 (EC 5.4.99.30) (Reversibly glycosylated polypeptide 2) (AtRGP2) (UDP-L-arabinose mutase 2)	RGP2 At5g15650 F14F8_30	Cytoplasm, cytosol. Golgi apparatus. Soluble and membrane-associated.	
F4KB73	ARM repeat superfamily protein	At5g15680 AT5G15680 F14F8.60 F14F8_60	Mitochondrion	
Q9FNX5	Phragmoplastin DRP1E (EC 3.6.5.-) (Dynamin-like protein 1E) (Dynamin-like protein 4) (Dynamin-like protein DLP2) (Dynamin-related protein 1E) (AtDRP1E)	DRP1E ADL1E ADL4 DLP2 At3g60190 T2O9.170	Cytoplasm. Cytoplasm, cytoskeleton. Cytoplasm, cytoskeleton, phragmoplast. Microtubule-associated and localized in the forming cell plate during cytokinesis.	
F4JPL2	Phosphotransferases/inositol or phosphatidylinositol kinase	At4g36080 AT4G36080	Nucleus	
Q9FY61	Trafficking protein particle complex II-specific subunit 120 homolog (AtTRS120) (TRAPP II-specific subunit 120 homolog) (Protein VASCULAR NETWORK DEFECTIVE 4)	TRS120 VAN4 At5g11040 T5K6.30	Golgi apparatus, trans-Golgi network. Early endosome.	
A0A1P8B9J5	RNI-like superfamily protein	MFC19.17 MFC19_17 At5g45500 AT5G45500	Nucleus	
Q9SZN1	V-type proton ATPase subunit B2 (V-ATPase subunit B2) (Vacuolar H(+)-ATPase subunit B isoform 2) (Vacuolar proton pump subunit B2)	VHA-B2 At4g38510 F20M13.70	Vacuole membrane; Peripheral membrane protein.	
Q9SV20	Coatomer subunit beta-2 (Beta-coat protein 2) (Beta-COP 2)	At4g31490 F3L17.60	Cytoplasm. Golgi apparatus membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasmic vesicle, COPI-coated vesicle membrane; Peripheral membrane protein; Cytoplasmic side. The coatomer is cytoplasmic or polymerized on the cytoplasmic side of the Golgi, as well as on the vesicles/buds originating from it.	
Q9SFU6	Callose synthase 9 (EC 2.4.1.34) (1,3-beta-glucan synthase) (Protein GLUCAN SYNTHASE-LIKE 10)	CALS9 GSL10 At3g07160 T1B9.18	Cell membrane; Multi-pass membrane protein.	"TRANSMEM 490..510; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 524..544; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 561..581; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 592..612; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 659..679; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 723..743; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1458..1478; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1513..1533; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1540..1560; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1610..1630; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1631..1651; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1704..1724; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1733..1753; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1769..1789; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1796..1816; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1839..1859; /note=""Helical""; /evidence=""ECO:0000255"""
Q9C5Y0	Phospholipase D delta (AtPLDdelta) (PLD delta) (EC 3.1.4.4)	PLDDELTA At4g35790 F4B14.60	Cell membrane; Peripheral membrane protein. Colocalization with cortical microtubules also occurs.	
Q8L866	Amine oxidase [copper-containing] zeta, peroxisomal (AtCuAO1) (AtCuAO3) (AtCuAOzeta) (Copper amine oxidase 3) (EC 1.4.3.21)	CuAOzeta CuAO1 CuAO3 At2g42490 F14N22.1 MHK10.21	Peroxisome.	
Q84VW9	Phosphoenolpyruvate carboxylase 3 (AtPPC3) (PEPC 3) (PEPCase 3) (EC 4.1.1.31)	PPC3 PEPC PPC At3g14940 K15M2.8	Cytoplasm.	
Q9SV21	Coatomer subunit beta-1 (Beta-coat protein 1) (Beta-COP 1)	At4g31480 F3L17.50	Cytoplasm. Golgi apparatus membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasmic vesicle, COPI-coated vesicle membrane; Peripheral membrane protein; Cytoplasmic side. The coatomer is cytoplasmic or polymerized on the cytoplasmic side of the Golgi, as well as on the vesicles/buds originating from it.	
Q9T0A0	Long chain acyl-CoA synthetase 4 (EC 6.2.1.3)	LACS4 At4g23850 T32A16_20	Nucleus	
Q9SEI2	26S proteasome regulatory subunit 6A homolog A (26S proteasome AAA-ATPase subunit RPT5a) (Proteasome 26S subunit 6A homolog A) (Regulatory particle triple-A ATPase subunit 5a) (Tat-binding protein 1 homolog A) (TBP-1 homolog A)	RPT5A ATS6A.2 TBP1 At3g05530 F22F7.1	Cytoplasm. Nucleus.	
P0DH99	Elongation factor 1-alpha 1 (EF-1-alpha 1) (eEF-1A1)	A1 At1g07940 T6D22.3	Cytoplasm.	
Q9SJM0	Callose synthase 10 (EC 2.4.1.34) (1,3-beta-glucan synthase) (Protein CHORUS) (Protein GLUCAN SYNTHASE-LIKE 8)	CALS10 GSL8 At2g36850 T1J8.3	Cell membrane; Multi-pass membrane protein.	"TRANSMEM 491..511; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 532..552; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 562..582; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 594..614; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 661..681; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 722..742; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1474..1494; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1529..1549; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1554..1574; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1621..1641; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1644..1664; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1747..1767; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1783..1803; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1811..1831; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1853..1873; /note=""Helical""; /evidence=""ECO:0000255"""
P29197	Chaperonin CPN60, mitochondrial (HSP60)	CPN60 At3g23990 F14O13.18	Mitochondrion.	
P93042	Protein ROOT HAIR DEFECTIVE 3 (EC 3.6.5.-) (Protein FRAGILE FIBER 4) (Protein SEY1 homolog 1)	RHD3 FRA4 At3g13870 MCP4.11	Endoplasmic reticulum membrane; Multi-pass membrane protein. Golgi apparatus membrane.	"TRANSMEM 678..698; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03109""; TRANSMEM 702..722; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03109"""
A0A1P8B4E4	ARM repeat superfamily protein	At4g30990 AT4G30990 F6I18.5	Nucleus	
Q9MAT0	26S proteasome non-ATPase regulatory subunit 1 homolog B (26S proteasome regulatory subunit RPN2b) (AtRPN2b) (26S proteasome regulatory subunit S1 homolog B)	RPN2B At1g04810 F13M7.20	Chloroplast	
Q9LV11	ATPase 11, plasma membrane-type (EC 7.1.2.1) (Proton pump 11)	AHA11 At5g62670 MRG21.9	Membrane; Multi-pass membrane protein.	"TRANSMEM 66..85; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 98..118; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 248..268; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 278..295; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 648..669; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 675..697; /note=""Helical; Name=6""; /evidence=""ECO:0000255""; TRANSMEM 714..734; /note=""Helical; Name=7""; /evidence=""ECO:0000255""; TRANSMEM 760..780; /note=""Helical; Name=8""; /evidence=""ECO:0000255""; TRANSMEM 793..813; /note=""Helical; Name=9""; /evidence=""ECO:0000255""; TRANSMEM 822..842; /note=""Helical; Name=10""; /evidence=""ECO:0000255"""
F4JR52	ARM repeat superfamily protein	At4g30990 AT4G30990 F6I18.5	Nucleus	
Q940P8	T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta) (Chaperonin CCT2)	CCT2 At5g20890 F22D1.60	Cytoplasm.	
Q93YU5	Exocyst complex component SEC8 (AtSec8) (Exocyst complex component 4)	SEC8 At3g10380 F14P13.2	Cytoplasm, cytosol. Cytoplasm, cytoskeleton, phragmoplast. Secreted, cell wall. Secreted, extracellular exosome. During cytokinesis, localizes to the nascent cell plate and later to the cell plate insertion site and along the post-cytokinetic wall (PubMed:20870962). Shuttles from the cytoplasm to the exocyst-positive organelle (EXPO) in the presence of EXO70E2 (PubMed:24307681).	
Q8VYC5	Ketose-bisphosphate aldolase class-II family protein (Uncharacterized protein At1g18270)	AT1G18270 T10O22.24 T10O22_24	Unknown	
A0A1P8AX98	ARM repeat superfamily protein	At2g26780 AT2G26780 F18A8.15 F18A8_15	Unknown	
F4JXW9	ER membrane protein complex subunit 1	At5g11560 AT5G11560 F15N18.150 F15N18_150	Endoplasmic reticulum membrane; Single-pass type I membrane protein. Membrane; Single-pass type I membrane protein.	"TRANSMEM 949..972; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
A0A1P8AWA3	1-phosphatidylinositol 4-kinase (EC 2.7.1.67)	ATPI4K ALPHA At1g49340 AT1G49340	Cytoplasm	
Q9T053	Phospholipase D gamma 1 (AtPLDgamma1) (PLD gamma 1) (EC 3.1.4.4) (Choline phosphatase) (Lecithinase D) (Lipophosphodiesterase II)	PLDGAMMA1 At4g11850 T26M18.60	Cytoplasm. Membrane; Peripheral membrane protein. Found mainly associated with intracellular membranes but also with mitochondrial membranes, nuclei and clathrin-coated vesicles. Not found in chloroplast.	
Q9SF40	60S ribosomal protein L4-1 (L1)	RPL4A At3g09630 F11F8.22	Cytoplasm	
P54888	Delta-1-pyrroline-5-carboxylate synthase B (P5CS B) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]	P5CSB P5CS2 At3g55610 F1I16_20	Mitochondrion	
F4IL68	SH3 domain-containing protein	At2g07360 AT2G07360 T13E11.13 T13E11_13	Chloroplast	
Q9LTT8	Enhancer of mRNA-decapping protein 4 (Protein VARICOSE)	VCS EDC4 At3g13300 MDC11.13	Cytoplasm, P-body.	
F4I9A2	Trans-Golgi network-localized SYP41-interacting protein 1 (TGN-localized SYP41-interacting protein 1)	TNO1 At1g24460 F21J9.12	Golgi apparatus, trans-Golgi network membrane; Single-pass type IV membrane protein.	"TRANSMEM 1749..1766; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255"""
Q9FN44	Zinc finger, C3HC4 type (RING finger) family protein	MYJ24.15 MYJ24_15 At5g23110 AT5G23110	Unknown	
Q9M888	T-complex protein 1 subunit zeta 1 (TCP-1-zeta 1) (CCT-zeta 1) (Chaperonin CCT6A)	CCT6A At3g02530 F16B3.16	Cytoplasm.	
Q9LF79	Calcium-transporting ATPase 8, plasma membrane-type (EC 7.2.2.10) (Ca(2+)-ATPase isoform 8)	ACA8 At5g57110 MUL3.5	Cell membrane; Multi-pass membrane protein.	"TRANSMEM 181..201; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 220..240; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 370..389; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 427..444; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 841..859; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 871..891; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 912..934; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 950..971; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 990..1011; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1022..1043; /note=""Helical""; /evidence=""ECO:0000255"""
A0A2P2CLF9	ATP synthase subunit alpha	atp1	Membrane. Mitochondrion inner membrane.	
P29511	Tubulin alpha-6 chain (EC 3.6.5.-)	TUBA6 TUA6 At4g14960 dl3520c	Cytoplasm, cytoskeleton.	
Q8L7N0	T-complex protein 1 subunit zeta 2 (TCP-1-zeta 2) (CCT-zeta 2) (Chaperonin CCT6B)	CCT6B At5g16070 F1N13.210	Cytoplasm.	
Q9ZU25	Probable mitochondrial-processing peptidase subunit alpha-1, mitochondrial (Alpha-MPP 1) (Complex III subunit II) (Core protein II) (Cytochrome b-c1 complex subunit 2-1, mitochondrial) (Inactive zinc metalloprotease alpha-1) (Ubiquinol-cytochrome c oxidoreductase core protein 2-1)	MPPalpha1 At1g51980 F5F19.4	Mitochondrion matrix. Mitochondrion inner membrane; Peripheral membrane protein; Matrix side.	
Q8RX56	Protein unc-13 homolog (Protein PROTON ATPASE TRANSLOCATION CONTROL 1)	PATROL1 At5g06970 MOJ9.14	Cytoplasm. Cell membrane; Peripheral membrane protein. Translocates reversibly between the cytoplasm and the plasma membrane depending on environmental conditions.	
Q9SGT7	At1g56110/T6H22_9 (NOP56-like pre RNA processing ribonucleoprotein) (NOP56-like protein) (Nucleolar protein) (SAR DNA binding protein, putative)	NOP56 NOP56-LIKE PROTEIN AT1G56110 T6H22.10 T6H22_10	Nucleus, nucleolus.	
Q9SUS3	Beta-adaptin-like protein B (At-bB-Ad) (At-betaB-Ad) (AP complex subunit beta-B) (Adaptor protein complex AP subunit beta-B) (Beta-adaptin B) (Clathrin assembly protein complex beta large chain B)	BETAB-AD At4g11380 F8L21.170	Golgi apparatus. Golgi apparatus, trans-Golgi network. Cytoplasmic vesicle, clathrin-coated vesicle membrane; Peripheral membrane protein; Cytoplasmic side. Associated with the trans-Golgi network. Component of the coat surrounding the cytoplasmic face of coated vesicles located at the Golgi complex (By similarity).	
B9DGT7	Tubulin alpha-2 chain (EC 3.6.5.-)	TUBA2 TUA2 At1g50010 F2J10.11	Cytoplasm, cytoskeleton.	
Q9C8G9	ABC transporter C family member 1 (ABC transporter ABCC.1) (AtABCC1) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 1) (Glutathione S-conjugate-transporting ATPase 1) (Multidrug resistance-associated protein 1)	ABCC1 EST1 MRP1 At1g30400 T4K22.12	Vacuole membrane; Multi-pass membrane protein. Tonoplast.	"TRANSMEM 37..57; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 73..93; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 110..130; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 145..165; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 174..194; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 336..356; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 440..460; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 527..547; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 557..577; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 909..929; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 951..971; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 1027..1049; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 1053..1072; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 1138..1158; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 1172..1192; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441"""
Q9MAH0	Phosphoenolpyruvate carboxylase 1 (AtPPC1) (PEPC 1) (PEPCase 1) (EC 4.1.1.31) (107-kDa PEPC polypeptide)	PPC1 p107 At1g53310 F12M16.21	Cytoplasm.	
O24457	Pyruvate dehydrogenase E1 component subunit alpha-3, chloroplastic (EC 1.2.4.1)	PDH-E1 ALPHA At1g01090 T25K16.8	Plastid, chloroplast.	
Q39085	Delta(24)-sterol reductase (EC 1.3.1.72) (Cell elongation protein DIMINUTO) (Cell elongation protein Dwarf1) (Protein CABBAGE1) (Protein ENHANCED VERY-LOW-FLUENCE RESPONSE 1)	DIM CBB1 DWF1 EVE1 At3g19820 MPN9.6	Microsome membrane; Single-pass type II membrane protein; Cytoplasmic side.	"TRANSMEM 26..46; /note=""Helical; Signal-anchor""; /evidence=""ECO:0000255"""
Q56YW9	Tubulin beta-2 chain	TUBB2 TUB2 At5g62690 MRG21.11	Cytoplasm, cytoskeleton.	
Q9LZF6	Cell division control protein 48 homolog E (AtCDC48e) (Transitional endoplasmic reticulum ATPase E)	CDC48E At5g03340 F12E4_70	Nucleus. Cytoplasm, cytoskeleton, phragmoplast. Primarily localized to the nucleus and, during cytokinesis, to the phragmoplast, a site where membrane vesicles are targeted in the deposition of new cell wall materials.	
O23144	Proton pump-interactor 1	PPI1 At4g27500 F27G19.100	Cell membrane; Single-pass membrane protein. Endoplasmic reticulum membrane; Single-pass membrane protein.	"TRANSMEM 591..611; /note=""Helical""; /evidence=""ECO:0000255"""
Q9MAB3	Probable nucleolar protein 5-2 (MAR-binding NOP56/58 homolog 2) (Nucleolar protein 58-2)	NOP5-2 NOP58-2 At3g05060 T12H1.2	Nucleus, nucleolus.	
Q38882	Phospholipase D alpha 1 (AtPLDalpha1) (PLD alpha 1) (EC 3.1.4.4) (Choline phosphatase 1) (PLDalpha) (Phosphatidylcholine-hydrolyzing phospholipase D 1)	PLDALPHA1 PLD1 At3g15730 MSJ11.13	Cytoplasm. Cell membrane; Peripheral membrane protein. Mitochondrion membrane. Microsome membrane. Vacuole. Cytoplasmic vesicle, clathrin-coated vesicle. Not found in chloroplast or nuclei. The distribution of this conventional PLD between membrane-associated and soluble fractions varied from organ to organ and is calcium-regulated. Activation or wounding increases association of preexisting enzyme with membranes.	
Q9SSB5	26S proteasome regulatory subunit 7 homolog A (26S proteasome AAA-ATPase subunit RPT1a) (26S proteasome subunit 7 homolog A) (Regulatory particle triple-A ATPase subunit 1a)	RPT1A At1g53750 F22G10.2 T18A20.1	Cytoplasm. Nucleus.	
Q9SQI8	Dihydrolipoyllysine-residue acetyltransferase component 4 of pyruvate dehydrogenase complex, chloroplastic (EC 2.3.1.12) (Dihydrolipoamide S-acetyltransferase component 4 of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex component E2 4) (PDC-E2 4) (PDCE2 4) (plE2)	LTA2 At3g25860 MPE11.1	Plastid, chloroplast stroma.	
P49691	60S ribosomal protein L4-2 (L1)	RPL4D RPL1 RPL4 At5g02870 F9G14_180	Cytoplasm	
Q9C5U3	26S proteasome regulatory subunit 8 homolog A (26S proteasome AAA-ATPase subunit RPT6a) (26S proteasome subunit 8 homolog A) (Regulatory particle triple-A ATPase subunit 6a)	RPT6A SUG1 At5g19990 F28I16.140	Cytoplasm. Nucleus.	
Q8LPR9	Protein TIC110, chloroplastic (Translocon at the inner envelope membrane of chloroplasts 110) (AtTIC110)	TIC110 At1g06950 F10K1.33 F4H5.1	Plastid, chloroplast inner membrane; Multi-pass membrane protein.	"TRANSMEM 96..116; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 119..139; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 260..280; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 369..386; /note=""Helical""; /evidence=""ECO:0000250""; TRANSMEM 633..650; /note=""Helical""; /evidence=""ECO:0000250""; TRANSMEM 720..736; /note=""Helical""; /evidence=""ECO:0000250"""
O04314	PYK10-binding protein 1 (Jacalin-related lectin 30) (Jasmonic acid-induced protein)	PBP1 JAL30 JIP PBPI At3g16420 MDC8.5 T02O04.8	Cytoplasm.	
O23254	Serine hydroxymethyltransferase 4 (AtSHMT4) (EC 2.1.2.1) (Glycine hydroxymethyltransferase 4) (Serine methylase 4)	SHM4 SHMT4 At4g13930 dl3005c FCAALL.160	Cytoplasm.	
O03986	Heat shock protein 90-4 (AtHSP90.4) (AtHsp90-4) (Heat shock protein 81-4) (Hsp81-4)	HSP90-4 HSP81-4 At5g56000 MDA7.4	Cytoplasm.	
Q8W4S4	V-type proton ATPase subunit a3 (V-ATPase subunit a3) (V-type proton ATPase 95 kDa subunit a isoform 3) (V-ATPase 95 kDa isoform a3) (Vacuolar H(+)-ATPase subunit a isoform 3) (Vacuolar proton pump subunit a3) (Vacuolar proton translocating ATPase 95 kDa subunit a isoform 3)	VHA-a3 At4g39080 F19H22.180	Vacuole membrane; Multi-pass membrane protein.	"TRANSMEM 422..442; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 470..490; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 549..569; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 582..602; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 641..661; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 759..779; /note=""Helical""; /evidence=""ECO:0000255"""
A8MS68	Dihydrolipoyl dehydrogenase 1, chloroplastic (ptLPD1) (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase 1) (Protein LIPOAMIDE DEHYDROGENASE 1) (Pyruvate dehydrogenase complex E3 subunit 1) (E3-1) (PDC-E3 1)	LPD1 At3g16950 K14A17.6	Plastid, chloroplast stroma.	
Q8LF20	Putative clathrin assembly protein At2g25430	At2g25430 F13B15.9	Membrane, clathrin-coated pit. Golgi apparatus. Cytoplasmic vesicle, clathrin-coated vesicle. Colocalized with clathrin in the Golgi area.	
