Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohC C) / (WT C)	Abundance Ratio (log2): (rbohC C) / (WT C)	Abundance Ratio Adj. P-Value: (rbohC C) / (WT C)	Abundance Ratio P-Value: (rbohC C) / (WT C)	Abundances (Grouped): rbohC C	Abundances (Grouped): WT C	Abundances (Grouped) CV [%]: rbohC C	Abundances (Grouped) CV [%]: WT C	Abundances (Normalized): F1: Sample, rbohC C	Abundances (Normalized): F2: Sample, rbohC C	Abundances (Normalized): F3: Sample, rbohC C	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
Q9S7M9	ath:AT3G07680; Q8L987; Q9S7M9	Transmembrane emp24 domain-containing protein p24beta2 OS=Arabidopsis thaliana OX=3702 GN=At3g07680 PE=1 SV=1	142.69	536	8	8	0.114	-3.14	9.71282301316431E-17	1E-17	96065322.5953535	843914636.5673	24.41	12.41	96065322.5953535	128319746.563248	79689704.3196869	843914636.5673	905318195.849773	706804093.406482	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8LAZ7	A1A6G7; ath:AT1G22920; F4I325; O23130; O82524; Q84WE7; Q8LAZ7	COP9 signalosome complex subunit 5a OS=Arabidopsis thaliana OX=3702 GN=CSN5A PE=1 SV=2	34.597	193	9	9	17.094	4.1	9.71282301316431E-17	1E-17	117255008.632888	6859589.48838567	29.48	16.49	90910698.6981314	162984285.886169	117255008.632888	6859589.48838567	5531620.01309294	7727314.34099112	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8L719	ath:AT5G02530; Q8L719; Q9LZ49	THO complex subunit 4B OS=Arabidopsis thaliana OX=3702 GN=ALY2 PE=1 SV=1	60.804	314	9	9	0.095	-3.4	9.71282301316431E-17	1E-17	12190655.7333374	128290641.175697	17.65	33.32	14905056.0177905	10519183.0190475	12190655.7333374	179307898.312608	128290641.175697	91095054.2596806	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8L7U5	ath:AT4G03080; Q8L7U5; Q9ZTA4	Serine/threonine-protein phosphatase BSL1 OS=Arabidopsis thaliana OX=3702 GN=BSL1 PE=1 SV=2	58.445	214	13	11	56.064	5.81	9.71282301316431E-17	1E-17	716841976.176522	12786220.7256189	14.62	21.94	733348444.605042	716841976.176522	556301364.963008	14549902.456918	12786220.7256189	9288329.70440518	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4IWW1	F4IWW1	AP-3 complex subunit beta OS=Arabidopsis thaliana OX=3702 GN=PAT2 PE=1 SV=1	57.155	261	14	14	0.089	-3.49	9.71282301316431E-17	1E-17	19031967.7199463	213573530.124689	6.21	46.52	19031967.7199463	20174511.2808985	17813942.2668662	213573530.124689	352394393.266888	137283565.146154	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LXX6	ath:AT3G56640; Q9LXX6	Exocyst complex component SEC15A OS=Arabidopsis thaliana OX=3702 GN=SEC15A PE=3 SV=2	63.945	213	17	17	0.062	-4.01	9.71282301316431E-17	1E-17	6523105.77681772	105350359.462075	15.46	20.27	6523105.77681772	6896324.33112899	5089860.95144018	105350359.462075	127401785.897191	84523091.0775619	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A9X4U2	A9X4U2; ath:AT2G43420; O22856; Q94AR9	3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 3 OS=Arabidopsis thaliana OX=3702 GN=3BETAHSD/D3 PE=2 SV=2	113.373	462	17	17	0.097	-3.36	9.71282301316431E-17	1E-17	14058034.8474818	144801048.835752	34.46	38.71	12148109.4711578	22689845.156801	14058034.8474818	144801048.835752	92550849.1429006	207093022.073522	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8L5Y9	ath:AT4G32180; O49372; O49374; Q8L5Y9	Pantothenate kinase 2 OS=Arabidopsis thaliana OX=3702 GN=PANK2 PE=1 SV=2	82.236	308	20	19	0.072	-3.79	9.71282301316431E-17	1E-17	15851263.0483344	219475231.573714	10.95	40.83	15851263.0483344	18331193.7783641	14856021.8880697	219475231.573714	226126718.89452	95395792.8998335	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SVC2	ath:AT3G52400; Q9SUJ2; Q9SVC2	Syntaxin-122 OS=Arabidopsis thaliana OX=3702 GN=SYP122 PE=1 SV=1	156.092	640	19	19	0.142	-2.81	9.71282301316431E-17	1E-17	96130132.1789286	675466159.789552	22.74	14.2	71297230.7865615	113709157.65679	96130132.1789286	675466159.789552	686106566.005752	526243174.709291	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FXA2	ath:AT1G49760; Q9FXA2	Polyadenylate-binding protein 8 OS=Arabidopsis thaliana OX=3702 GN=PAB8 PE=1 SV=1	184.787	1052	24	21	0.117	-3.1	9.71282301316431E-17	1E-17	71047300.6726498	608150802.377318	30.3	25.98	105671558.415119	59839669.9369978	71047300.6726498	608150802.377318	651480823.791139	385893413.543111	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8L831	ath:AT1G79690; Q8GY80; Q8L831; Q93ZN1; Q9MA07	Nudix hydrolase 3 OS=Arabidopsis thaliana OX=3702 GN=NUDT3 PE=1 SV=1	85.632	309	24	23	8.475	3.08	9.71282301316431E-17	1E-17	202001406.413247	23835914.0927968	11.14	27.07	238297280.537335	194124454.764977	202001406.413247	23904230.5249526	23835914.0927968	14189558.6378666	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9M0A0	A0A178UUJ7; ath:AT4G30600; Q9M0A0	AT4g30600/F17I23_60 OS=Arabidopsis thaliana OX=3702 GN=At4g30600 PE=1 SV=1	119.688	628	23	23	0.07	-3.83	9.71282301316431E-17	1E-17	36692884.0014146	521976474.504996	6.27	12.58	36692884.0014146	33151875.9985597	37298888.9243097	555272839.290944	521976474.504996	432834314.163221	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9M9M4	ath:AT3G03050; Q9M9M4	Cellulose synthase-like protein D3 OS=Arabidopsis thaliana OX=3702 GN=CSLD3 PE=1 SV=1	290.614	1542	37	24	7.861	2.97	9.71282301316431E-17	1E-17	927876261.009469	118039926.200205	21.53	20.87	927876261.009469	633155628.027912	962838226.905531	129986791.057898	85214880.1706655	118039926.200205	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8B6J9	A0A1P8B6J9	Sensitive to freezing 6 OS=Arabidopsis thaliana OX=3702 GN=SFR6 PE=1 SV=1	111.177	608	25	25	0.092	-3.44	9.71282301316431E-17	1E-17	56600598.8619638	614697343.653258	21.55	26.41	56600598.8619638	67402813.0996752	43392499.9929495	614697343.653258	635152935.770421	377458122.737165	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4HRS2	ath:AT1G67140; B0ZC48; B0ZC49; B0ZC50; F4HRS0; F4HRS1; F4HRS2; Q0WPN9; Q9ZW93	Protein SWEETIE OS=Arabidopsis thaliana OX=3702 GN=SWEETIE PE=1 SV=2	202.001	834	46	46	15.348	3.94	9.71282301316431E-17	1E-17	776586090.356734	50596960.6713291	5.59	7.99	802345123.892195	776586090.356734	718731397.068342	44021553.4349257	50596960.6713291	50864920.2640703	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8B863	A0A1P8B863	Nucleoporin OS=Arabidopsis thaliana OX=3702 GN=At4g31570 PE=1 SV=1	170.906	507	47	47	0.09	-3.48	9.71282301316431E-17	1E-17	31203348.1786735	347918448.497972	8.49	15.61	28128129.7209969	33342658.9065287	31203348.1786735	389471596.052753	347918448.497972	283992477.146049	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4J153	A0A178VMH0; ath:AT3G03570; F4J153	Signal transducer, putative (DUF3550/UPF0682) OS=Arabidopsis thaliana OX=3702 GN=At3g03570 PE=1 SV=1	27.956	131	10	9	15.458	3.95	2.15352997795109E-15	2.22044604925031E-16	43172947.5309787	2792946.90866925	104.89	123.86	4271135.92720133	118231280.733437	43172947.5309787	1185938.44282784	2792946.90866925	16738976.7501849	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	Peak Found	High	Peak Found	High	High	15
Q43314	ath:AT5G18170; Q43314	Glutamate dehydrogenase 1 OS=Arabidopsis thaliana OX=3702 GN=GDH1 PE=1 SV=1	125.673	654	17	12	7.661	2.94	2.15352997795109E-15	2.22044604925031E-16	209626320.614471	27362638.0710823	25.07	39.78	209343439.729783	209626320.614471	315824108.454947	12224828.1498454	28190761.5400363	27362638.0710823	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q39230	ath:AT5G27470; Q39230	Serine--tRNA ligase, cytoplasmic OS=Arabidopsis thaliana OX=3702 GN=At5g27470 PE=1 SV=1	149.294	804	23	23	0.145	-2.79	2.15352997795109E-15	2.22044604925031E-16	31711048.4657986	219444547.858145	22.34	34.89	31711048.4657986	42506832.1787981	27844196.6081658	304622257.178497	148424935.375265	219444547.858145	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4IN63	ath:AT2G48080; F4IN63	Oxidoreductase, 2OG-Fe(II) oxygenase family protein OS=Arabidopsis thaliana OX=3702 GN=At2g48080 PE=1 SV=1	12.399	31	5	4	12.296	3.62	4.30287020886337E-15	4.44089209850063E-16	81927712.2859207	6662687.42095365	67.27	22.29	81927712.2859207	191402813.098256	52724047.4564022	8111746.71120726	6662687.42095365	5151511.57401401	High	High	High	Peak Found	High	High	Peak Found	High	High	Peak Found	High	High	High	High	High	High	Peak Found	Peak Found	13
O65398	ath:AT1G11840; B9DFN6; B9DGT0; F4IAH9; O65398; Q3EDE2; Q940A4	Lactoylglutathione lyase GLX1 OS=Arabidopsis thaliana OX=3702 GN=GLX1 PE=1 SV=1	72.512	373	12	11	0.149	-2.74	4.30287020886337E-15	4.44089209850063E-16	33590035.0286337	225068886.841884	18.55	31.33	42760559.0747797	30013112.0637601	33590035.0286337	345030794.36725	225068886.841884	193907130.325123	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8AQR8	A0A1P8AQR8	5'-3' exoribonuclease OS=Arabidopsis thaliana OX=3702 GN=XRN4 PE=1 SV=1	16.408	85	7	5	0.039	-4.67	1.07415021241174E-14	1.11022302462516E-15	539723.190144439	13704567.4616219	48.36	29.33	861074.656506128	539723.190144439	311662.537647585	13704567.4616219	18079195.2300704	9929826.78753106	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	High	Peak Found	High	High	High	10
Q8RWN2	ath:AT5G13740; Q8RWN2; Q9FKI8	Protein ZINC INDUCED FACILITATOR 1 OS=Arabidopsis thaliana OX=3702 GN=ZIF1 PE=1 SV=2	12.993	30	4	3	31.467	4.98	1.28835453632375E-14	1.33226762955019E-15	15091329.1457275	479586.19614952	43.38	35.49	15091329.1457275	23414975.0298942	9599793.43950009	479586.19614952	276071.609148212	589780.879813252	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	Peak Found	Peak Found	High	Peak Found	High	Peak Found	8
Q8VY01	ath:AT2G33530; O22803; Q8VY01	Serine carboxypeptidase-like 46 OS=Arabidopsis thaliana OX=3702 GN=SCPL46 PE=2 SV=1	99.559	416	12	12	6.863	2.78	2.36083727907943E-14	2.44249065417534E-15	319849232.307549	46605112.5671584	19.42	24.86	319849232.307549	308155239.662918	432460990.95452	51444725.818085	46605112.5671584	30984697.3930782	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q93V58	ath:AT3G45240; Q93V58; Q9M1T5	Serine/threonine-protein kinase GRIK1 OS=Arabidopsis thaliana OX=3702 GN=GRIK1 PE=1 SV=1	44.118	223	8	4	0.088	-3.5	1.22097328212377E-13	1.26565424807268E-14	3978418.1839945	44963678.3435989	30.25	9.12	3769543.92762691	3978418.1839945	6325116.41068115	44963678.3435989	38623191.4091366	45822236.261277	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	17
Q9C5L6	Q9C5L6	Major facilitator superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g10190 PE=1 SV=1	26.339	80	6	6	11.449	3.52	1.58358946554743E-13	1.64313007644523E-14	46978578.0182173	4103422.33218374	14.41	47	45041462.668226	58413721.5116408	46978578.0182173	5708127.7733604	2013511.13744903	4103422.33218374	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	Peak Found	High	High	High	High	16
P0C1T5	ath:AT5G09978; P0C1T5; Q1G3G0	Elicitor peptide 7 OS=Arabidopsis thaliana OX=3702 GN=PEP7 PE=3 SV=1	21.744	137	3	3	0.171	-2.55	7.21221656658226E-13	7.50510764646606E-14	35175297.0108816	205562164.079583	32.5	25.68	43064262.0199931	35175297.0108816	21665371.9447743	207854557.606087	205562164.079583	126670358.905538	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LMK7	ath:AT1G07140; O04149; Q9LMK7; Q9XHS1	Ran-binding protein 1 homolog a OS=Arabidopsis thaliana OX=3702 GN=RANBP1A PE=1 SV=1	90.635	324	11	8	0.149	-2.75	8.40308643411934E-13	8.74855743404623E-14	20968451.4190178	141128372.652514	11.49	30.3	24477391.2934702	19654821.1860998	20968451.4190178	141128372.652514	193343106.536349	105060356.960931	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	17
Q43729	ath:AT5G17820; Q43729; Q84WN8	Peroxidase 57 OS=Arabidopsis thaliana OX=3702 GN=PER57 PE=1 SV=1	184.278	1048	16	16	0.211	-2.24	1.07813843487671E-12	1.12354570092066E-13	212653413.875127	1007549913.23482	32.92	31.33	335069505.253546	183870528.326984	212653413.875127	1065022036.08513	1007549913.23482	562348059.331806	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LII9	F4IXS5; Q9LII9	GDSL esterase/lipase At3g27950 OS=Arabidopsis thaliana OX=3702 GN=At3g27950 PE=2 SV=1	58.673	162	7	7	0.164	-2.6	1.36725617186558E-12	1.4255263636187E-13	30268903.7906257	184107325.543269	5.12	25.44	30268903.7906257	32447131.6115669	29396190.0208878	169340142.097858	266926533.616166	184107325.543269	High	High	Peak Found	High	High	Peak Found	High	High	High	Peak Found	High	High	High	High	High	High	High	High	15
P17597	A0A174; ath:AT3G48560; P17597; Q5FV34; Q8L7Y7; Q94B64	Acetolactate synthase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ALS PE=1 SV=1	188.753	752	22	22	5.865	2.55	1.3729841774249E-12	1.43218770176645E-13	340489628.520859	58050535.3133455	16.14	12.54	340489628.520859	411917716.417856	300075960.583158	47017439.8079035	59681467.3031895	58050535.3133455	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q4V3C8	ath:AT3G10540; Q0WSV2; Q4V3C8; Q9SQY4	3-phosphoinositide-dependent protein kinase 2 OS=Arabidopsis thaliana OX=3702 GN=PDPK2 PE=1 SV=1	25.24	58	8	3	0.103	-3.28	1.59785294930658E-12	1.66755498298699E-13	5279603.87182631	51377232.9450554	18.24	16.38	3916914.65632509	5279603.87182631	5618925.57437878	56799331.9788749	51377232.9450554	40804629.7596363	High	Peak Found	High	Peak Found	Peak Found	Not Found	High	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	8
F4I7I0	ath:AT1G17290; F4I7I0; Q56Z96; Q94BP8; Q9LKJ4; Q9LN15	Alanine aminotransferase 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=ALAAT1 PE=1 SV=1	83.13	458	15	14	5.899	2.56	1.66938951978296E-12	1.7430501486615E-13	218295856.952554	37003282.6540182	20.65	34.98	153768645.946821	218295856.952554	231313298.265593	32382331.6022834	37003282.6540182	60648232.8251986	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q94AI6	ath:AT1G71820; Q8RVQ6; Q94AI6; Q9M9G4	Exocyst complex component SEC6 OS=Arabidopsis thaliana OX=3702 GN=SEC6 PE=1 SV=1	337.718	1668	40	40	4.617	2.21	3.03309403611459E-12	3.1730174043787E-13	818991850.071566	177384696.881952	9.52	35.6	811161818.428076	818991850.071566	957097957.790528	177384696.881952	148145272.518758	285825575.688648	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4IDB2	ath:AT1G72390; F4IDB2; Q9C9D6; Q9C9D7	Protein PHYTOCHROME-DEPENDENT LATE-FLOWERING OS=Arabidopsis thaliana OX=3702 GN=PHL PE=1 SV=1	12.97	30	5	5	39.674	5.31	4.09075189644061E-12	4.28768132110235E-13	10121257.2066256	255113.720385753	13.63	65.83	8171541.03332165	10121257.2066256	10678272.4804139	707289.871941751	243257.308375625	255113.720385753	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	High	Peak Found	High	7
Q7XA86	ath:AT3G51390; Q7XA86; Q8LAV8; Q9SD10	Protein S-acyltransferase 10 OS=Arabidopsis thaliana OX=3702 GN=PAT10 PE=1 SV=1	14.869	84	3	3	17.942	4.17	7.27630587361641E-12	7.63389351732258E-13	19880864.3568367	1108063.71984076	34.85		20080861.6497546	19880864.3568367	9942327.21430629		1108063.71984076		High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	17
Q9FHA3	ath:AT5G67100; F4K285; Q9FHA3	DNA polymerase alpha catalytic subunit OS=Arabidopsis thaliana OX=3702 GN=POLA PE=3 SV=2	79.658	261	27	27	4.406	2.14	1.53962159383277E-11	1.61914925911333E-12	520507925.308953	118132014.810055	5.85	23.6	519302608.092706	520507925.308953	574444117.066363	118132014.810055	124381743.800828	77939137.5745652	High	High	High	High	High	High	High	High	High	High	Peak Found	Peak Found	High	High	High	High	High	High	16
Q9FEA2	ath:AT5G64050; Q940P6; Q9FEA2	Glutamate--tRNA ligase, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=OVA3 PE=1 SV=1	12.539	21	5	5	11.629	3.54	1.68640240660878E-11	1.77435843795593E-12	31187150.4372834	2681773.08067546	18.64	24.83	28267781.6006453	31187150.4372834	40142609.9314206	2681773.08067546	3607090.70469118	2223749.52109509	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	7
F4K4D6	ath:AT5G27650; C0SVR2; F4K4D6	Tudor/PWWP/MBT superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g27650 PE=1 SV=1	21.196	38	8	8	10.089	3.33	2.32599605661177E-11	2.45314879521175E-12	46987066.7502143	4657465.39432597	14.81	28.21	36281415.0114694	46987066.7502143	47949850.2122479	4657465.39432597	5956371.1477856	3333289.02688414	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	8
Q8RWY3	ath:AT3G06400; F4JAW0; F4JAW1; Q8RWY3; Q9SQU3	ISWI chromatin-remodeling complex ATPase CHR11 OS=Arabidopsis thaliana OX=3702 GN=CHR11 PE=1 SV=4	266.072	1755	50	13	4.318	2.11	3.0595367313245E-11	3.22986082323951E-12	510502351.640798	118230914.612197	11.37	6.77	467310734.510595	510502351.640798	584393519.288297	118230914.612197	114521661.97647	130203043.329437	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q7PC79	ath:AT1G72560; Q7PC79; Q7XAC4; Q9CAH2	Exportin-T OS=Arabidopsis thaliana OX=3702 GN=PSD PE=2 SV=1	101.258	420	22	22	4.536	2.18	9.63123181376563E-11	1.01867403401457E-11	338690577.858346	74663344.8855142	17.76	14.31	338690577.858346	324882593.127747	444818977.198651	77924346.0045165	74663344.8855142	59044289.6704966	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q93YQ5	A0A178V829; ath:AT3G61180; Q93YQ5	RING/U-box superfamily protein OS=Arabidopsis thaliana OX=3702 GN=T20K12.80 PE=1 SV=1	9.742	88	2	2	10.108	3.34	2.09121759824538E-10	2.21498375196916E-11	30444967.5018641	3012022.78247622	11.61	70.2	27084067.4530698	34182033.6251841	30444967.5018641	3012022.78247622	1051404.5794504	5529201.61766671	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	17
O82251	ath:AT2G47840; O82251; Q94A61	Protein TIC 20-II, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TIC20-II PE=2 SV=1	25.568	168	5	5	8.464	3.08	2.3819040891983E-10	2.5240698420248E-11	63984399.2949942	7559392.97527446	6.6	14.57	60499051.6446649	63984399.2949942	68967670.2789181	6675999.65222929	7559392.97527446	8907294.86618954	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O80625	ath:AT2G39380; O80625	Exocyst subunit Exo70 family protein OS=Arabidopsis thaliana OX=3702 GN=EXO70H2 PE=3 SV=1	31.082	100	10	9	9.704	3.28	4.14402844163831E-10	4.39552838571444E-11	40702965.0934437	4194414.3717876	32.54	9.55	34558315.7955085	40702965.0934437	63071013.819336	3739635.41489204	4530594.04825649	4194414.3717876	Peak Found	High	High	High	High	Peak Found	High	High	Peak Found	High	High	High	High	Peak Found	High	High	High	High	14
Q3EDE7	Q3EDE7	Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=At1g10990 PE=1 SV=1	7.271	23	2	2	26.747	4.74	5.57434151348101E-10	5.92104143493088E-11	9883617.91540163	369523.29637125	12.86	24.8	7881071.56617473	9996936.86866028	9883617.91540163	441169.654494513	309512.372779876		Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Not Found	Not Found	Peak Found	High	6
Q9SGA5	A0A178VFU2; ath:AT3G02070; Q0WTB0; Q9SGA5	OVARIAN TUMOR DOMAIN-containing deubiquitinating enzyme 12 OS=Arabidopsis thaliana OX=3702 GN=OTU12 PE=2 SV=1	9.899	24	3	3	19.096	4.26	5.92668383167858E-10	6.29827301423802E-11	13062005.0115583	684033.13543249	25.43	75.51	13544625.854189	8208546.38605944	13062005.0115583	1240938.09285274		377054.530813834	High	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Not Found	High	Peak Found	Peak Found	High	7
Q8VZ80	ath:AT3G18830; Q8VZ80; Q9LS92	Polyol transporter 5 OS=Arabidopsis thaliana OX=3702 GN=PLT5 PE=1 SV=2	55.86	267	9	8	0.143	-2.8	7.41907988559807E-10	7.89168730364054E-11	7927328.24352425	55294842.4658498	16.34	32.7	9065278.05803851	7927328.24352425	6510794.94715147	55294842.4658498	76965274.0310349	39648103.6039776	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8W496	ath:AT4G25650; Q8W496; Q93WJ7; Q9SZZ3	Protochlorophyllide-dependent translocon component 52, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PTC52 PE=2 SV=1	16.286	62	7	7	10.968	3.46	1.1676707483422E-09	1.2438117202862E-10	24580102.3431979	2240992.01921261	33.77	62.91	31412797.9682975	15397786.3560837	24580102.3431979	814408.542820438	2240992.01921261	3609101.8846649	High	High	Peak Found	Peak Found	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	15
Q9FIC6	ath:AT5G39150; Q9FIC6	Germin-like protein subfamily 1 member 17 OS=Arabidopsis thaliana OX=3702 GN=At5g39150 PE=2 SV=1	37.352	53	3	3	9.124	3.19	1.46754680053737E-09	1.56839874421166E-10	29930504.3015474	3280313.35650183	45.79	143.49	17761706.3916508	46371745.3624962	29930504.3015474	3280313.35650183	2157395.7070983	42035109.5113563	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	High	Peak Found	7
