Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohF C) / (WT C)	Abundance Ratio (log2): (rbohF C) / (WT C)	Abundance Ratio Adj. P-Value: (rbohF C) / (WT C)	Abundance Ratio P-Value: (rbohF C) / (WT C)	Abundances (Grouped): rbohF C	Abundances (Grouped): WT C	Abundances (Grouped) CV [%]: rbohF C	Abundances (Grouped) CV [%]: WT C	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
A8MS85	A8MS85; ath:AT1G65440; O80815; Q0WN83	Transcription elongation factor SPT6 homolog OS=Arabidopsis thaliana OX=3702 GN=SPT6 PE=1 SV=1	75.896	246	23	22	13.294	3.73	1.01626016260163E-16	1E-17	122578797.518363	9220931.19663768	15.56	63.76	151190024.823728	112569195.677682	122578797.518363	5706481.30131394	9220931.19663768	19928275.5430335	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	17
Q9LYG5	Q9LYG5	Alpha/beta-Hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g11650 PE=1 SV=1	13.062	250	4	3	0.01	-6.64	1.01626016260163E-16	1E-17		308110.567796751		63.96				766694.369141088	308110.567796751	251083.856676997	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q84VZ5	ath:AT5G19240; Q84VZ5; Q8H7A4	Uncharacterized GPI-anchored protein At5g19240 OS=Arabidopsis thaliana OX=3702 GN=At5g19240 PE=2 SV=2	26.353	139	4	4	11.49	3.52	1.01626016260163E-16	1E-17	46704423.2864659	4064701.37874807	40.02	50.1	46704423.2864659	84484134.817684	42396642.4993737	8149832.33705141	3331694.77558327	4064701.37874807	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LHG9	ath:AT3G12390; Q9LHG9	Nascent polypeptide-associated complex subunit alpha-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=At3g12390 PE=1 SV=1	102.421	301	9	5	8.228	3.04	1.01626016260163E-16	1E-17	255074508.352652	31000665.1445307	72.73	16.47	40041932.5573849	255074508.352652	336233702.279535	29058172.8422437	39329368.444263	31000665.1445307	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FHN2	ath:AT5G51520; Q9FHN2	Invertase OS=Arabidopsis thaliana OX=3702 GN=At5g51520 PE=1 SV=1	50.597	157	6	6	0.011	-6.45	1.01626016260163E-16	1E-17	3442401.68278518	300523669.598443	64.3	24.85	2083901.06583788	7425390.71821694	3442401.68278518	373445100.141256	300523669.598443	224568547.829642	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SKI2	ath:AT2G06530; Q701A4; Q701B3; Q701B7; Q701C5; Q701E0; Q701E1; Q701E3; Q701F9; Q701G8; Q701J8; Q8L915; Q9SKI2	Vacuolar protein sorting-associated protein 2 homolog 1 OS=Arabidopsis thaliana OX=3702 GN=VPS2.1 PE=1 SV=2	29.547	242	7	7	0.078	-3.68	1.01626016260163E-16	1E-17	9281796.12455073	119372532.889761	51.21	9.75	6484208.60789153	9281796.12455073	17379327.5855253	112016655.967374	135339365.832417	119372532.889761	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9S7M9	ath:AT3G07680; Q8L987; Q9S7M9	Transmembrane emp24 domain-containing protein p24beta2 OS=Arabidopsis thaliana OX=3702 GN=At3g07680 PE=1 SV=1	142.69	536	8	8	0.116	-3.11	1.01626016260163E-16	1E-17	97608333.6363875	843914636.5673	13.31	12.41	85486017.8058062	97608333.6363875	111613431.831823	843914636.5673	905318195.849773	706804093.406482	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8LAZ7	A1A6G7; ath:AT1G22920; F4I325; O23130; O82524; Q84WE7; Q8LAZ7	COP9 signalosome complex subunit 5a OS=Arabidopsis thaliana OX=3702 GN=CSN5A PE=1 SV=2	34.597	193	9	9	25.443	4.67	1.01626016260163E-16	1E-17	174527207.0209	6859589.48838567	24.27	16.49	129337484.729688	212865089.61794	174527207.0209	6859589.48838567	5531620.01309294	7727314.34099112	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8L7U5	ath:AT4G03080; Q8L7U5; Q9ZTA4	Serine/threonine-protein phosphatase BSL1 OS=Arabidopsis thaliana OX=3702 GN=BSL1 PE=1 SV=2	58.445	214	13	11	43.189	5.43	1.01626016260163E-16	1E-17	552217726.092362	12786220.7256189	10.51	21.94	638922494.28657	523502616.513691	552217726.092362	14549902.456918	12786220.7256189	9288329.70440518	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4IWW1	F4IWW1	AP-3 complex subunit beta OS=Arabidopsis thaliana OX=3702 GN=PAT2 PE=1 SV=1	57.155	261	14	14	0.073	-3.77	1.01626016260163E-16	1E-17	15619388.5413727	213573530.124689	34	46.52	15619388.5413727	16463084.4180894	8173552.39456216	213573530.124689	352394393.266888	137283565.146154	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O23264	ath:AT4G14030; O23264; Q42178; Q93WU0	Selenium-binding protein 1 OS=Arabidopsis thaliana OX=3702 GN=SBP1 PE=1 SV=1	101.257	445	15	15	61.46	5.94	1.01626016260163E-16	1E-17	359234681.369465	5844979.69506022	57.9	37.18	359234681.369465	409387807.382357	97926922.2172764	5844979.69506022	9033602.08309793	4366158.69927104	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LXX6	ath:AT3G56640; Q9LXX6	Exocyst complex component SEC15A OS=Arabidopsis thaliana OX=3702 GN=SEC15A PE=3 SV=2	63.945	213	17	17	0.09	-3.47	1.01626016260163E-16	1E-17	9527380.58074393	105350359.462075	15.59	20.27	7209323.36715193	9527380.58074393	9634127.84431057	105350359.462075	127401785.897191	84523091.0775619	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A9X4U2	A9X4U2; ath:AT2G43420; O22856; Q94AR9	3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 3 OS=Arabidopsis thaliana OX=3702 GN=3BETAHSD/D3 PE=2 SV=2	113.373	462	17	17	0.11	-3.18	1.01626016260163E-16	1E-17	15921986.3688187	144801048.835752	81.79	38.71	14522960.5067927	15921986.3688187	56048957.2357144	144801048.835752	92550849.1429006	207093022.073522	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FXA2	ath:AT1G49760; Q9FXA2	Polyadenylate-binding protein 8 OS=Arabidopsis thaliana OX=3702 GN=PAB8 PE=1 SV=1	184.787	1052	24	21	0.102	-3.29	1.01626016260163E-16	1E-17	62316618.7546056	608150802.377318	5.93	25.98	60854865.5249758	62316618.7546056	68011116.0370874	608150802.377318	651480823.791139	385893413.543111	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8L831	ath:AT1G79690; Q8GY80; Q8L831; Q93ZN1; Q9MA07	Nudix hydrolase 3 OS=Arabidopsis thaliana OX=3702 GN=NUDT3 PE=1 SV=1	85.632	309	24	23	8.85	3.15	1.01626016260163E-16	1E-17	210948288.628893	23835914.0927968	14.7	27.07	266136896.238948	205739228.853222	210948288.628893	23904230.5249526	23835914.0927968	14189558.6378666	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9M0A0	A0A178UUJ7; ath:AT4G30600; Q9M0A0	AT4g30600/F17I23_60 OS=Arabidopsis thaliana OX=3702 GN=At4g30600 PE=1 SV=1	119.688	628	23	23	0.103	-3.27	1.01626016260163E-16	1E-17	53965558.3274973	521976474.504996	31.11	12.58	74121833.4339276	39520876.5660882	53965558.3274973	555272839.290944	521976474.504996	432834314.163221	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q39230	ath:AT5G27470; Q39230	Serine--tRNA ligase, cytoplasmic OS=Arabidopsis thaliana OX=3702 GN=At5g27470 PE=1 SV=1	149.294	804	23	23	0.147	-2.76	1.01626016260163E-16	1E-17	32339340.830539	219444547.858145	34.09	34.89	32339340.830539	27081575.789006	50948563.8138494	304622257.178497	148424935.375265	219444547.858145	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8B6J9	A0A1P8B6J9	Sensitive to freezing 6 OS=Arabidopsis thaliana OX=3702 GN=SFR6 PE=1 SV=1	111.177	608	25	25	0.08	-3.65	1.01626016260163E-16	1E-17	49132994.5970931	614697343.653258	3.33	26.41	47996180.9456123	51244956.2877586	49132994.5970931	614697343.653258	635152935.770421	377458122.737165	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4HRS2	ath:AT1G67140; B0ZC48; B0ZC49; B0ZC50; F4HRS0; F4HRS1; F4HRS2; Q0WPN9; Q9ZW93	Protein SWEETIE OS=Arabidopsis thaliana OX=3702 GN=SWEETIE PE=1 SV=2	202.001	834	46	46	13.861	3.79	1.01626016260163E-16	1E-17	701311202.161982	50596960.6713291	4.04	7.99	701311202.161982	738211800.514873	682008788.881997	44021553.4349257	50596960.6713291	50864920.2640703	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8B863	A0A1P8B863	Nucleoporin OS=Arabidopsis thaliana OX=3702 GN=At4g31570 PE=1 SV=1	170.906	507	47	47	0.094	-3.41	1.01626016260163E-16	1E-17	32834056.0300245	347918448.497972	18.72	15.61	27210649.0120282	32834056.0300245	39634739.6585154	389471596.052753	347918448.497972	283992477.146049	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q93V58	ath:AT3G45240; Q93V58; Q9M1T5	Serine/threonine-protein kinase GRIK1 OS=Arabidopsis thaliana OX=3702 GN=GRIK1 PE=1 SV=1	44.118	223	8	4	0.112	-3.16	2.25197368078125E-15	2.22044604925031E-16	5045952.32341269	44963678.3435989	16.32	9.12	5045952.32341269	4097056.92049443	5703784.77008183	44963678.3435989	38623191.4091366	45822236.261277	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	17
F4IW47	ath:AT2G45290; F4IW47; O22143; Q93ZH6	Transketolase-2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TKL-2 PE=1 SV=1	78.394	419	17	9	9.31	3.22	2.01960732119786E-14	1.99840144432528E-15	88809268.0140969	9538659.76395277	27.79	67.42	139323384.203582	88312643.0110005	88809268.0140969	9538659.76395277	13727186.2023076	2346553.24180152	High	Peak Found	High	High	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	13
Q9LR65	ath:AT1G03590; Q8SBC2; Q9LR65	Probable protein phosphatase 2C 1 OS=Arabidopsis thaliana OX=3702 GN=PPC6-6 PE=1 SV=1	19.444	83	6	4	10.657	3.41	4.02497773278002E-14	3.99680288865056E-15	40782112.9670506	3826620.16806909	14.35	10.95	33154503.1664269	40782112.9670506	44187059.974332	4440849.19873902	3826620.16806909	3603913.00435468	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	Peak Found	High	High	High	High	High	High	High	10
A0A1P8B137	A0A1P8B137	Integrin-linked protein kinase family OS=Arabidopsis thaliana OX=3702 GN=At2g43850 PE=1 SV=1	21.082	105	8	6	12.033	3.59	5.36123794587601E-14	5.32907051820075E-15	73077309.9136976	6073080.79703052	3.11	19.69	72830732.6093489	73077309.9136976	76952889.4805486	6073080.79703052	4448907.45214427	6608183.75878706	High	High	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	High	High	Peak Found	High	High	High	13
Q8VY20	Q8VY20	Auxin canalization protein (DUF828) OS=Arabidopsis thaliana OX=3702 GN=At4g14740 PE=1 SV=1	15.872	49	5	5	17.905	4.16	7.58745383663424E-14	7.54951656745106E-15	20552784.3697937	1147874.63370026	58.38	86.15	18166975.6225837	20552784.3697937	48781263.999368	1147874.63370026	848636.075883474	3939377.87254177	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	High	8
F4K1S1	F4K1S1	Structural maintenance of chromosomes protein OS=Arabidopsis thaliana OX=3702 GN=SMC3 PE=1 SV=1	181.614	601	39	39	0.161	-2.63	1.89210941540127E-13	1.88737914186277E-14	41167916.8893683	255139900.103795	3.84	33.25	41167916.8893683	40208979.9368408	43325646.8316333	255139900.103795	140441358.400329	281700525.250135	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FGV4	ath:AT5G47950; Q9FGV4	Acetyl-CoA:benzylalcohol acetyltranferase-like protein OS=Arabidopsis thaliana OX=3702 GN=At5g47950 PE=1 SV=1	19.687	41	7	7	17.878	4.16	2.22489584093218E-13	2.22044604925031E-14	16628407.5367421	930113.915064703	35.54	45.08	17753778.6491509	16628407.5367421	8455215.29051936	930113.915064703	506325.200215664	1340938.91754915	High	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	High	High	High	High	Peak Found	High	High	Peak Found	13
Q8L719	ath:AT5G02530; Q8L719; Q9LZ49	THO complex subunit 4B OS=Arabidopsis thaliana OX=3702 GN=ALY2 PE=1 SV=1	60.804	314	9	9	0.143	-2.81	3.29119694831293E-13	3.28626015289046E-14	18298708.3660884	128290641.175697	35.1	33.32	18298708.3660884	26733982.4348964	13238129.4714257	179307898.312608	128290641.175697	91095054.2596806	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SZ46	ath:AT4G31940; Q9SZ46	Xanthotoxin 5-hydroxylase CYP82C4 OS=Arabidopsis thaliana OX=3702 GN=CYP82C4 PE=1 SV=1	171.198	480	23	12	8.96	3.16	3.7563101333664E-13	3.75255382323303E-14	84162376.8624107	9393565.49702237	55.77	22.1	24570764.6749681	84162376.8624107	94696679.9133311	7071587.76964405	9393565.49702237	11120792.4188962	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	High	14
Q84WU5	A0A178UBM1; ath:AT5G14720; Q84WU5	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g14720 PE=1 SV=1	12.624	14	4	4	33.397	5.06	7.72715225139109E-13	7.72715225139109E-14	11657584.6912307	349065.088933699	79.37		774483.732749339	11657584.6912307	13309686.5507424	349065.088933699			High	High	Peak Found	Not Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Not Found	Not Found	High	Not Found	High	6
Q9FKS8	ath:AT5G40780; O24405; Q3E8J8; Q9FKS8	Lysine histidine transporter 1 OS=Arabidopsis thaliana OX=3702 GN=LHT1 PE=1 SV=1	65.524	198	8	7	0.161	-2.64	8.92173225186033E-13	8.92619311798626E-14	16051880.8202546	99831469.4905235	39.62	22	10215676.8267204	16051880.8202546	23279349.183792	122473346.786489	99831469.4905235	78385091.2241399	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	17
Q4V3C8	ath:AT3G10540; Q0WSV2; Q4V3C8; Q9SQY4	3-phosphoinositide-dependent protein kinase 2 OS=Arabidopsis thaliana OX=3702 GN=PDPK2 PE=1 SV=1	25.24	58	8	3	0.141	-2.83	2.290146149451E-12	2.29816166097407E-13	7223205.13187762	51377232.9450554	3.82	16.38	7090552.16138257	7223205.13187762	7626282.77224514	56799331.9788749	51377232.9450554	40804629.7596363	High	Peak Found	High	Peak Found	Peak Found	Not Found	High	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	8
Q38856	ath:AT4G19690; Q38856; Q8LBP0	Fe(2+) transport protein 1 OS=Arabidopsis thaliana OX=3702 GN=IRT1 PE=1 SV=2	44.654	146	3	3	9.021	3.17	5.0812992136499E-12	5.10924635932497E-13	35035177.061647	3883770.07200304	12.75	97.7	35035177.061647	39917476.4106534	30926934.5129551	1576518.51330103	3883770.07200304	12880564.75025	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	Peak Found	High	High	High	High	16
Q94AM8	ath:AT4G30996; Q94AM8	Ubiquitin-associated protein (DUF1068) OS=Arabidopsis thaliana OX=3702 GN=NKS1 PE=1 SV=1	36.189	189	6	5	0.128	-2.96	5.18913385863567E-12	5.22026866178749E-13	5455048.5797449	42460626.2148222	36.13	12.03	9699841.27842647	5378777.48716242	5455048.5797449	42460626.2148222	51813043.0142639	42216983.8967426	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	17
Q941R7	ath:AT1G70880; Q941R7	Major latex-like protein OS=Arabidopsis thaliana OX=3702 GN=MLP15 PE=1 SV=1	24.231	50	3	3	14.84	3.89	5.4579071295035E-12	5.49338352584527E-13	20426512.7799767	1376472.25359398	14.02	42.79	25602778.1601547	20426512.7799767	20088105.7682272	611069.670083228	1376472.25359398	1571336.46432848	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	High	High	Peak Found	High	High	High	High	High	High	Peak Found	11
Q9SIU2	ath:AT2G13540; Q8VZH3; Q9LKN6; Q9SIU2	Nuclear cap-binding protein subunit 1 OS=Arabidopsis thaliana OX=3702 GN=ABH1 PE=1 SV=2	33.5	55	12	12	9.401	3.23	9.04259030969498E-12	9.11493103217254E-13	32442278.9238306	3451105.74980557	10.59	114.5	30225229.8460899	37124049.0103704	32442278.9238306	815896.320417809	3451105.74980557	13973222.688257	High	Peak Found	Peak Found	High	High	High	High	Peak Found	High	Peak Found	High	High	High	High	Peak Found	High	High	Peak Found	12
Q8VY01	ath:AT2G33530; O22803; Q8VY01	Serine carboxypeptidase-like 46 OS=Arabidopsis thaliana OX=3702 GN=SCPL46 PE=2 SV=1	99.559	416	12	12	6.398	2.68	1.67551754435249E-11	1.68975944347949E-12	298167921.394134	46605112.5671584	17.26	24.86	299668234.321137	298167921.394134	217677326.15757	51444725.818085	46605112.5671584	30984697.3930782	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O65398	ath:AT1G11840; B9DFN6; B9DGT0; F4IAH9; O65398; Q3EDE2; Q940A4	Lactoylglutathione lyase GLX1 OS=Arabidopsis thaliana OX=3702 GN=GLX1 PE=1 SV=1	72.512	373	12	11	0.195	-2.36	1.83335342282501E-11	1.84985360363044E-12	43956708.3032654	225068886.841884	28.57	31.33	43956708.3032654	26983169.1139396	48617730.5848982	345030794.36725	225068886.841884	193907130.325123	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8BGB2	A0A1P8BGB2	Signal recognition particle, SRP54 subunit protein OS=Arabidopsis thaliana OX=3702 GN=At5g49500 PE=4 SV=1	46.843	268	10	3	7.548	2.92	1.95553144634471E-11	1.97508676080815E-12	55822298.9833266	7395655.97396909	31.98	56.4	33303800.9002688	65387122.5637793	55822298.9833266	7395655.97396909	15083241.071174	5176060.53695612	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	6
Q9C5L6	Q9C5L6	Major facilitator superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g10190 PE=1 SV=1	26.339	80	6	6	8.716	3.12	2.71546392775347E-11	2.74669176292264E-12	35765850.3495545	4103422.33218374	16.38	47	35635268.8364181	46883555.901474	35765850.3495545	5708127.7733604	2013511.13744903	4103422.33218374	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	Peak Found	High	High	High	High	16
Q1H595	ath:AT1G03330; Q1H595; Q8L5U6; Q9ZVT4	Sm-like protein LSM2 OS=Arabidopsis thaliana OX=3702 GN=LSM2 PE=1 SV=1	36.123	172	6	6	8.085	3.02	3.22107153936163E-11	3.26294546937334E-12	73960760.7847562	9148263.23823835	14.4	13.91	73960760.7847562	60093654.3328845	80188005.4067609	9903589.96552767	9148263.23823835	7495952.76148125	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	17
O82251	ath:AT2G47840; O82251; Q94A61	Protein TIC 20-II, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TIC20-II PE=2 SV=1	25.568	168	5	5	8.369	3.07	6.41530352384289E-11	6.50191012141477E-12	63267632.1127467	7559392.97527446	27.58	14.57	53596090.9461239	63267632.1127467	90341656.9857639	6675999.65222929	7559392.97527446	8907294.86618954	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8AVK4	A0A1P8AVK4	Disease resistance protein (CC-NBS-LRR class) family OS=Arabidopsis thaliana OX=3702 GN=At1g15890 PE=4 SV=1	15.586	35	5	5	17.238	4.11	1.23393359022625E-10	1.25244259407964E-11	12791770.4244835	742081.853505259	46.05	151.57	4982584.11796329	12791770.4244835	13908584.9415328	738408.571093884	742081.853505259	16297897.0471416	High	High	High	High	High	Peak Found	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	High	15
Q8VWF5	ath:AT1G29400; Q0WLA0; Q8VWF5; Q9C7R1	Protein MEI2-like 5 OS=Arabidopsis thaliana OX=3702 GN=ML5 PE=1 SV=1	16.96	131	4	3	9.159	3.2	1.38712828083103E-10	1.40862876918391E-11	29929175.8825631	3267676.61522517	11.06	26.76	29929175.8825631	25890947.7372966	32322161.0561183	3267676.61522517	2360232.49363637	4094159.1451229	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q0WUZ5	ath:AT5G65470; Q0WUZ5; Q8RWD4; Q9FKP3	O-fucosyltransferase 39 OS=Arabidopsis thaliana OX=3702 GN=OFUT39 PE=2 SV=1	23.446	59	6	4	10.976	3.46	2.289468456633E-10	2.33182362308071E-11	17756474.8385395	1617735.52588661	36	27.55	9982655.01750418	17756474.8385395	21607772.8267363	2206089.45366952	1617735.52588661	1280017.06372291	High	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	10
O22873	ath:AT2G40620; O22873; O23726	bZIP transcription factor 18 OS=Arabidopsis thaliana OX=3702 GN=BZIP18 PE=1 SV=1	64.132	155	10	10	6.599	2.72	2.65843393531441E-10	2.70894418008538E-11	48480175.3413972	7346920.47268427	20.55	72.3	36957204.5016014	56242626.8085537	48480175.3413972	7346920.47268427	5935915.63147811	20828967.2739396	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	17
F4I7I0	ath:AT1G17290; F4I7I0; Q56Z96; Q94BP8; Q9LKJ4; Q9LN15	Alanine aminotransferase 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=ALAAT1 PE=1 SV=1	83.13	458	15	14	4.695	2.23	2.89154564822579E-10	2.94793078836619E-11	173743380.549172	37003282.6540182	15.52	34.98	182110322.303701	134576933.117326	173743380.549172	32382331.6022834	37003282.6540182	60648232.8251986	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FHA3	ath:AT5G67100; F4K285; Q9FHA3	DNA polymerase alpha catalytic subunit OS=Arabidopsis thaliana OX=3702 GN=POLA PE=3 SV=2	79.658	261	27	27	4.787	2.26	2.89302351138402E-10	2.9508839816117E-11	565505184.936994	118132014.810055	15.19	23.6	672948492.402325	498563598.709186	565505184.936994	118132014.810055	124381743.800828	77939137.5745652	High	High	High	High	High	High	High	High	High	High	Peak Found	Peak Found	High	High	High	High	High	High	16
Q9LII9	F4IXS5; Q9LII9	GDSL esterase/lipase At3g27950 OS=Arabidopsis thaliana OX=3702 GN=At3g27950 PE=2 SV=1	58.673	162	7	7	0.239	-2.06	3.29644309018639E-10	3.36402017353521E-11	44071687.1776348	184107325.543269	31.03	25.44	24603630.9243471	44071687.1776348	46104768.5202855	169340142.097858	266926533.616166	184107325.543269	High	High	Peak Found	High	High	Peak Found	High	High	High	Peak Found	High	High	High	High	High	High	High	High	15
