Accession	Description	MW [kDa]	calc. pI
O65719	Heat shock 70 kDa protein 3 OS=Arabidopsis thaliana OX=3702 GN=HSP70-3 PE=1 SV=1	71.1	5.07
P0DKL6	Spliceosome-associated protein 130 B OS=Arabidopsis thaliana OX=3702 GN=SAP130B PE=2 SV=1	134.9	5.54
O81742	Beta-adaptin-like protein C OS=Arabidopsis thaliana OX=3702 GN=BETAC-AD PE=1 SV=2	99	5.02
Q9SEI4	26S proteasome regulatory subunit 6B homolog OS=Arabidopsis thaliana OX=3702 GN=RPT3 PE=1 SV=1	45.7	5.6
Q84WV1	T-complex protein 1 subunit gamma OS=Arabidopsis thaliana OX=3702 GN=CCT3 PE=1 SV=1	60.3	5.77
A0A1I9LQ09	Transducin family protein / WD-40 repeat family protein OS=Arabidopsis thaliana OX=3702 GN=At3g33530 PE=1 SV=1	143.9	6.28
Q6WWW4	E3 ubiquitin-protein ligase UPL3 OS=Arabidopsis thaliana OX=3702 GN=UPL3 PE=1 SV=1	202.8	6.18
Q8S3U9	Exocyst complex component SEC5A OS=Arabidopsis thaliana OX=3702 GN=SEC5A PE=1 SV=1	121.8	5.8
P17562	S-adenosylmethionine synthase 2 OS=Arabidopsis thaliana OX=3702 GN=SAM2 PE=1 SV=1	43.2	6.06
Q9FLT0	Ribonuclease TUDOR 2 OS=Arabidopsis thaliana OX=3702 GN=TSN2 PE=1 SV=1	107.7	6.55
Q94K05	T-complex protein 1 subunit theta OS=Arabidopsis thaliana OX=3702 GN=CCT8 PE=1 SV=1	58.9	5.35
F4ISN0	Zinc finger FYVE domain protein OS=Arabidopsis thaliana OX=3702 GN=At2g25730 PE=1 SV=1	277.1	5.82
F4JHH5	Exocyst complex component SEC15B OS=Arabidopsis thaliana OX=3702 GN=SEC15B PE=1 SV=1	88.3	6.44
Q9SB48	NADPH--cytochrome P450 reductase 1 OS=Arabidopsis thaliana OX=3702 GN=ATR1 PE=1 SV=1	76.7	5.26
Q94EJ6	Probable methyltransferase PMT14 OS=Arabidopsis thaliana OX=3702 GN=At4g18030 PE=2 SV=1	70.3	7.68
B9DHQ0	Tubulin alpha-5 chain OS=Arabidopsis thaliana OX=3702 GN=TUBA5 PE=1 SV=2	49.6	5.1
Q9SJL8	S-adenosylmethionine synthase 3 OS=Arabidopsis thaliana OX=3702 GN=METK3 PE=1 SV=1	42.5	6.18
Q56WK6	Patellin-1 OS=Arabidopsis thaliana OX=3702 GN=PATL1 PE=1 SV=2	64	4.83
F4IH25	Ribosome biogenesis protein BOP1 homolog OS=Arabidopsis thaliana OX=3702 GN=BOP1 PE=1 SV=1	85.3	5.3
Q96522	Peroxidase 45 OS=Arabidopsis thaliana OX=3702 GN=PER45 PE=1 SV=1	35.8	9.1
Q9FIB6	26S proteasome non-ATPase regulatory subunit 12 homolog A OS=Arabidopsis thaliana OX=3702 GN=RPN5A PE=1 SV=1	50.8	7.4
Q8GY23	E3 ubiquitin-protein ligase UPL1 OS=Arabidopsis thaliana OX=3702 GN=UPL1 PE=1 SV=3	404.7	5.1
Q8S944	Dynamin-related protein 3A OS=Arabidopsis thaliana OX=3702 GN=DRP3A PE=1 SV=2	89.6	6.44
F4JRE0	Transmembrane 9 superfamily member 12 OS=Arabidopsis thaliana OX=3702 GN=TMN12 PE=2 SV=1	74.1	6.18
Q8RWZ3	Probable acyl-CoA dehydrogenase IBR3 OS=Arabidopsis thaliana OX=3702 GN=IBR3 PE=1 SV=1	91.7	8.32
Q93YZ7	Acetolactate synthase small subunit 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At2g31810 PE=1 SV=1	53.8	8.97
Q9XI01	Protein disulfide isomerase-like 1-1 OS=Arabidopsis thaliana OX=3702 GN=PDIL1-1 PE=1 SV=1	55.6	4.92
F4J9K9	Neurofilament protein-like protein OS=Arabidopsis thaliana OX=3702 GN=At3g05900 PE=1 SV=1	73.4	4.35
Q9XES1	Calcium-transporting ATPase 4, endoplasmic reticulum-type OS=Arabidopsis thaliana OX=3702 GN=ECA4 PE=2 SV=2	116.1	5.21
X5JB51	Exocyst complex component SEC10b OS=Arabidopsis thaliana OX=3702 GN=SEC10b PE=1 SV=1	90.2	5.41
Q9LZJ5	ABC transporter C family member 14 OS=Arabidopsis thaliana OX=3702 GN=ABCC14 PE=1 SV=1	172	8.54
Q8RXF8	Mitochondrial Rho GTPase 1 OS=Arabidopsis thaliana OX=3702 GN=MIRO1 PE=1 SV=1	72.3	5.3
Q56Z59	Patellin-3 OS=Arabidopsis thaliana OX=3702 GN=PATL3 PE=1 SV=2	56.1	5.3
P29513	Tubulin beta-5 chain OS=Arabidopsis thaliana OX=3702 GN=TUBB5 PE=2 SV=1	50.3	4.77
Q8GUM1	Eukaryotic translation initiation factor 3 subunit B OS=Arabidopsis thaliana OX=3702 GN=EIF3B-2 PE=1 SV=1	82.1	5.24
F4IIU4	187-kDa microtubule-associated protein AIR9 OS=Arabidopsis thaliana OX=3702 GN=AIR9 PE=1 SV=1	186.7	6.24
O80998	Jacalin-related lectin 20 OS=Arabidopsis thaliana OX=3702 GN=JAL20 PE=2 SV=1	48.9	6.54
P23686	S-adenosylmethionine synthase 1 OS=Arabidopsis thaliana OX=3702 GN=SAM1 PE=1 SV=2	43.1	5.82
A0A1P8AV73	Coatomer subunit beta' OS=Arabidopsis thaliana OX=3702 GN=At1g52360 PE=1 SV=1	104.2	4.97
Q941L0	Cellulose synthase A catalytic subunit 3 [UDP-forming] OS=Arabidopsis thaliana OX=3702 GN=CESA3 PE=1 SV=2	119.6	7.56
Q8LA13	DEAD-box ATP-dependent RNA helicase 11 OS=Arabidopsis thaliana OX=3702 GN=RH11 PE=1 SV=1	66	6.68
Q9LFE2	Transducin family protein / WD-40 repeat family protein OS=Arabidopsis thaliana OX=3702 GN=TORMOZEMBRYO DEFECTIVE PE=1 SV=1	96.6	6
F4I420	Eukaryotic translation initiation factor 5B OS=Arabidopsis thaliana OX=3702 GN=At1g76810 PE=1 SV=1	142	5.39
F4JIM7	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Arabidopsis thaliana OX=3702 GN=HAP6 PE=1 SV=2	73.4	7.09
F4IG73	BEACH domain-containing protein C2 OS=Arabidopsis thaliana OX=3702 GN=BCHC2 PE=1 SV=1	327.9	5.91
Q9SUM3	NADPH--cytochrome P450 reductase 2 OS=Arabidopsis thaliana OX=3702 GN=ATR2 PE=1 SV=1	78.9	5.33
F4JM19	Myosin-14 OS=Arabidopsis thaliana OX=3702 GN=XI-H PE=3 SV=1	172	7.47
Q9M2L4	Putative calcium-transporting ATPase 11, plasma membrane-type OS=Arabidopsis thaliana OX=3702 GN=ACA11 PE=1 SV=1	111.9	6.34
P29514	Tubulin beta-6 chain OS=Arabidopsis thaliana OX=3702 GN=TUBB6 PE=2 SV=1	50.6	4.82
A0A1I9LME9	DNA-directed RNA polymerase subunit OS=Arabidopsis thaliana OX=3702 GN=NRPA1 PE=1 SV=1	185.9	6.29
Q8W4A0	Eukaryotic translation initiation factor 3 subunit M OS=Arabidopsis thaliana OX=3702 GN=F14P3.15 PE=1 SV=1	46.8	5.12
F4JW20	Spatacsin carboxy-terminus protein OS=Arabidopsis thaliana OX=3702 GN=At4g39420 PE=1 SV=1	354.8	5.74
P12411	Tubulin beta-1 chain OS=Arabidopsis thaliana OX=3702 GN=TUBB1 PE=2 SV=1	50.2	4.79
Q9FMF9	Nuclear protein-like OS=Arabidopsis thaliana OX=3702 GN=MSJ1.11 PE=1 SV=1	141.4	6.11
Q9LIH9	DEAD-box ATP-dependent RNA helicase 51 OS=Arabidopsis thaliana OX=3702 GN=RH51 PE=2 SV=1	63.8	9.25
Q9SXJ7	Chaperone protein ClpC2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CLPC2 PE=1 SV=1	105.7	6.42
Q94JQ6	Cellulose synthase A catalytic subunit 6 [UDP-forming] OS=Arabidopsis thaliana OX=3702 GN=CESA6 PE=1 SV=2	122.4	7.4
Q3ECS3	Myrosinase 5 OS=Arabidopsis thaliana OX=3702 GN=TGG5 PE=1 SV=1	57.4	8.1
Q9C8G5	CSC1-like protein ERD4 OS=Arabidopsis thaliana OX=3702 GN=ERD4 PE=1 SV=1	81.9	9.23
Q96292	Actin-2 OS=Arabidopsis thaliana OX=3702 GN=ACT2 PE=1 SV=1	41.9	5.58
Q8L611	Protein transport protein SEC31 homolog B OS=Arabidopsis thaliana OX=3702 GN=SEC31B PE=1 SV=1	119.8	5.14
Q9C8P0	Dihydrolipoyllysine-residue acetyltransferase component 5 of pyruvate dehydrogenase complex, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=EMB3003 PE=2 SV=1	48.3	8.78
F4HV96	Eif4a-2 OS=Arabidopsis thaliana OX=3702 GN=EIF4A-2 PE=1 SV=1	46.2	5.68
Q56ZQ3	Vacuolar-sorting receptor 4 OS=Arabidopsis thaliana OX=3702 GN=VSR4 PE=2 SV=2	69.8	5.48
Q8VZG7	Ribonuclease TUDOR 1 OS=Arabidopsis thaliana OX=3702 GN=TSN1 PE=1 SV=1	108.2	7.3
F4JXM5	Kinesin-like calmodulin-binding protein (ZWICHEL) OS=Arabidopsis thaliana OX=3702 GN=ZWI PE=1 SV=1	144	7.11
P25858	Glyceraldehyde-3-phosphate dehydrogenase GAPC1, cytosolic OS=Arabidopsis thaliana OX=3702 GN=GAPC1 PE=1 SV=2	36.9	7.12
F4JXM9	Trafficking protein particle complex subunit-like protein OS=Arabidopsis thaliana OX=3702 GN=At5g65950 PE=1 SV=1	132.1	6.25
X5JA13	Exocyst complex component SEC10a OS=Arabidopsis thaliana OX=3702 GN=SEC10a PE=1 SV=1	89.6	5.36
F4HUA0	GTP binding Elongation factor Tu family protein OS=Arabidopsis thaliana OX=3702 GN=At1g07930 PE=1 SV=1	41.3	9.23
H3K2Y6	Mediator of RNA polymerase II transcription subunit 12 OS=Arabidopsis thaliana OX=3702 GN=MED12 PE=1 SV=1	247.1	8.72
Q96293	Actin-8 OS=Arabidopsis thaliana OX=3702 GN=ACT8 PE=1 SV=2	41.8	5.58
Q9SX85	Exocyst complex component SEC3A OS=Arabidopsis thaliana OX=3702 GN=SEC3A PE=1 SV=1	100	5.76
O22785	Pre-mRNA-processing factor 19 homolog 2 OS=Arabidopsis thaliana OX=3702 GN=PRP19B PE=1 SV=3	56.7	6.13
O04309	Jacalin-related lectin 35 OS=Arabidopsis thaliana OX=3702 GN=JAL35 PE=1 SV=1	48.5	5.26
Q9FWX7	ABC transporter B family member 11 OS=Arabidopsis thaliana OX=3702 GN=ABCB11 PE=2 SV=1	137.6	7.69
Q9ZT82	Callose synthase 12 OS=Arabidopsis thaliana OX=3702 GN=CALS12 PE=2 SV=1	206.8	8.94
Q0WT31	Probable methyltransferase PMT25 OS=Arabidopsis thaliana OX=3702 GN=At2g34300 PE=2 SV=2	86.8	5.4
Q9LNU4	26S proteasome non-ATPase regulatory subunit 3 homolog A OS=Arabidopsis thaliana OX=3702 GN=RPN3A PE=1 SV=3	55.5	8.19
P53492	Actin-7 OS=Arabidopsis thaliana OX=3702 GN=ACT7 PE=1 SV=1	41.7	5.49
Q9FX54	Glyceraldehyde-3-phosphate dehydrogenase GAPC2, cytosolic OS=Arabidopsis thaliana OX=3702 GN=GAPC2 PE=1 SV=1	36.9	7.18
F4HTA1	Exocyst complex component sec3A OS=Arabidopsis thaliana OX=3702 GN=SEC3A PE=1 SV=1	100.1	5.76
Q94AI6	Exocyst complex component SEC6 OS=Arabidopsis thaliana OX=3702 GN=SEC6 PE=1 SV=1	85.6	4.88
Q9FJD4	Importin subunit beta-1 OS=Arabidopsis thaliana OX=3702 GN=KPNB1 PE=1 SV=1	96.2	4.81
Q9SKR2	Synaptotagmin-1 OS=Arabidopsis thaliana OX=3702 GN=SYT1 PE=1 SV=2	61.7	7.56
F4I116	Leucine--tRNA ligase, cytoplasmic OS=Arabidopsis thaliana OX=3702 GN=At1g09620 PE=1 SV=1	123.4	6.02
Q9LP45	26S proteasome non-ATPase regulatory subunit 11 homolog OS=Arabidopsis thaliana OX=3702 GN=RPN6 PE=1 SV=1	46.7	6.67
Q93Z83	AT5g26280/T19G15_130 OS=Arabidopsis thaliana OX=3702 GN=At5g26280 PE=1 SV=1	39.4	8.54
Q9ZU97	Protein VAC14 homolog OS=Arabidopsis thaliana OX=3702 GN=VAC14 PE=1 SV=2	83.9	6.11
Q9LYG3	NADP-dependent malic enzyme 2 OS=Arabidopsis thaliana OX=3702 GN=NADP-ME2 PE=1 SV=1	64.4	6.42
Q940J9	Probable methyltransferase PMT8 OS=Arabidopsis thaliana OX=3702 GN=At1g04430 PE=2 SV=1	70.5	6.6
Q8L828	Coatomer subunit beta'-3 OS=Arabidopsis thaliana OX=3702 GN=At3g15980 PE=2 SV=1	102.4	4.94
F4I3C3	ARP protein (REF) OS=Arabidopsis thaliana OX=3702 GN=NQR PE=1 SV=1	70.5	9.01
Q9LF98	Fructose-bisphosphate aldolase 8, cytosolic OS=Arabidopsis thaliana OX=3702 GN=FBA8 PE=1 SV=1	38.5	6.46
F4J109	Transducin family protein / WD-40 repeat family protein OS=Arabidopsis thaliana OX=3702 GN=SEC31B PE=1 SV=1	119.6	5.14
F4JEL5	Eukaryotic translation initiation factor 4A1 OS=Arabidopsis thaliana OX=3702 GN=EIF4A1 PE=1 SV=1	46.1	5.68
Q38858	Calreticulin-2 OS=Arabidopsis thaliana OX=3702 GN=CRT2 PE=1 SV=3	48.1	4.53
Q06327	Linoleate 9S-lipoxygenase 1 OS=Arabidopsis thaliana OX=3702 GN=LOX1 PE=1 SV=1	98	5.52
Q0WM93	AAA-type ATPase family protein OS=Arabidopsis thaliana OX=3702 GN=At4g02470 PE=1 SV=1	136.4	5.96
P49227	60S ribosomal protein L5-2 OS=Arabidopsis thaliana OX=3702 GN=RPL5B PE=2 SV=3	34.4	9.17
F4IAT3	THO complex subunit 2 OS=Arabidopsis thaliana OX=3702 GN=THO2 PE=1 SV=1	205.6	7.68
Q7PC87	ABC transporter G family member 34 OS=Arabidopsis thaliana OX=3702 GN=ABCG34 PE=2 SV=1	164.1	7.62
Q93VB0	Nucleic acid-binding, OB-fold-like protein OS=Arabidopsis thaliana OX=3702 GN=At2g40660 PE=1 SV=1	42.1	7.4
Q9SH76	ATPase 6, plasma membrane-type OS=Arabidopsis thaliana OX=3702 GN=AHA6 PE=2 SV=1	104.9	6.19
Q94FN2	Protein MOR1 OS=Arabidopsis thaliana OX=3702 GN=MOR1 PE=1 SV=1	217.4	7.56
Q9LX65	V-type proton ATPase subunit H OS=Arabidopsis thaliana OX=3702 GN=VHA-H PE=1 SV=1	50.3	7.03
Q9FJX3	Mitochondrial outer membrane protein porin 2 OS=Arabidopsis thaliana OX=3702 GN=VDAC2 PE=1 SV=1	29.6	8.85
Q9FFF3	Conserved oligomeric Golgi complex subunit 1 OS=Arabidopsis thaliana OX=3702 GN=COG1 PE=1 SV=1	118.7	5.68
P25696	Bifunctional enolase 2/transcriptional activator OS=Arabidopsis thaliana OX=3702 GN=ENO2 PE=1 SV=1	47.7	5.77
Q9S791	AT1G70770 protein OS=Arabidopsis thaliana OX=3702 GN=F15H11.2 PE=1 SV=1	66.8	8.88
Q93YS7	Putative WD-repeat membrane protein OS=Arabidopsis thaliana OX=3702 GN=At4g04940 PE=1 SV=1	102.2	6.95
Q9LPC5	Brefeldin A-inhibited guanine nucleotide-exchange protein 3 OS=Arabidopsis thaliana OX=3702 GN=BIG3 PE=1 SV=1	194.8	5.64
O23255	Adenosylhomocysteinase 1 OS=Arabidopsis thaliana OX=3702 GN=SAHH1 PE=1 SV=1	53.3	5.97
Q39160	Myosin-5 OS=Arabidopsis thaliana OX=3702 GN=XI-1 PE=1 SV=1	172.8	8.31
Q9LVA0	BAG family molecular chaperone regulator 7 OS=Arabidopsis thaliana OX=3702 GN=BAG7 PE=1 SV=1	51.5	9.26
F4IRI1	Transducin/WD40 repeat-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g18900 PE=1 SV=1	88	7.02
Q94KE3	Pyruvate kinase OS=Arabidopsis thaliana OX=3702 GN=At3g52990 PE=1 SV=1	57.5	7.11
Q9ZPI6	Peroxisomal fatty acid beta-oxidation multifunctional protein AIM1 OS=Arabidopsis thaliana OX=3702 GN=AIM1 PE=1 SV=1	77.8	9.32
Q93VS8	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=emb2734 PE=1 SV=1	123.7	4.87
Q9FGX1	ATP-citrate synthase beta chain protein 2 OS=Arabidopsis thaliana OX=3702 GN=ACLB-2 PE=1 SV=1	65.8	7.64
Q9SYP2	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha 1 OS=Arabidopsis thaliana OX=3702 GN=PFP-ALPHA1 PE=1 SV=1	67.1	6.99
Q9C522	ATP-citrate synthase beta chain protein 1 OS=Arabidopsis thaliana OX=3702 GN=ACLB-1 PE=2 SV=1	65.8	7.81
F4J4L4	RNA cytidine acetyltransferase OS=Arabidopsis thaliana OX=3702 GN=At3g57940 PE=1 SV=1	114.9	7.5
Q9STE8	Protein TOC75-3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TOC75-3 PE=1 SV=1	89.1	8.79
Q9SEI3	26S proteasome regulatory subunit 10B homolog A OS=Arabidopsis thaliana OX=3702 GN=RPT4A PE=1 SV=1	44.8	8.19
Q9LFX8	Glycine-rich protein OS=Arabidopsis thaliana OX=3702 GN=At1g27090 PE=1 SV=1	46	5.39
Q8LBI1	60S ribosomal protein L5-1 OS=Arabidopsis thaliana OX=3702 GN=RPL5A PE=1 SV=2	34.3	9.31
Q93YQ1	Regulatory-associated protein of TOR 1 OS=Arabidopsis thaliana OX=3702 GN=RAPTOR1 PE=1 SV=1	147.9	6.67
O64490	Protein-synthesizing GTPase OS=Arabidopsis thaliana OX=3702 GN=EIF2 GAMMA PE=1 SV=1	50.8	8.76
O48947	Cellulose synthase A catalytic subunit 2 [UDP-forming] OS=Arabidopsis thaliana OX=3702 GN=CESA2 PE=1 SV=1	122	7.46
Q9MAK9	26S proteasome regulatory subunit S10B homolog B OS=Arabidopsis thaliana OX=3702 GN=RPT4B PE=1 SV=1	44.7	8.19
O82663	Succinate dehydrogenase [ubiquinone] flavoprotein subunit 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=SDH1-1 PE=1 SV=1	69.6	6.29
Q8H0V6	ABC transporter F family member 3 OS=Arabidopsis thaliana OX=3702 GN=ABCF3 PE=1 SV=1	79.6	6.07
F4IFM6	Synaptotagmin A OS=Arabidopsis thaliana OX=3702 GN=SYTA PE=1 SV=1	66.2	7.78
F4HWC3	Calponin-like domain protein OS=Arabidopsis thaliana OX=3702 GN=At1g20970 PE=1 SV=1	150.1	4.75
Q8H1Y0	Pyruvate dehydrogenase E1 component subunit alpha-2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=IAR4 PE=1 SV=2	43.3	7.91
Q9LZI2	UDP-glucuronic acid decarboxylase 2 OS=Arabidopsis thaliana OX=3702 GN=UXS2 PE=1 SV=1	49.9	9.14
Q9S7C0	Heat shock 70 kDa protein 14 OS=Arabidopsis thaliana OX=3702 GN=HSP70-14 PE=1 SV=1	91.7	5.25
Q9SJT7	V-type proton ATPase subunit a2 OS=Arabidopsis thaliana OX=3702 GN=VHA-a2 PE=1 SV=1	93	5.54
Q9LJX0	ABC transporter B family member 19 OS=Arabidopsis thaliana OX=3702 GN=ABCB19 PE=1 SV=1	136.7	8.22
Q8H118	Probable methyltransferase PMT1 OS=Arabidopsis thaliana OX=3702 GN=At3g23300 PE=2 SV=2	69.3	6.73
P02769	Serum albumin (Laboratory-Cont) OS=Bos taurus GN=ALB PE=1 SV=4	69.2	6.18
Q9LFH0	ABC transporter G family member 37 OS=Arabidopsis thaliana OX=3702 GN=ABCG37 PE=1 SV=1	164	7.21
Q9LT96	Probable leucine-rich repeat receptor-like protein kinase At5g49770 OS=Arabidopsis thaliana OX=3702 GN=At5g49770 PE=1 SV=1	104.5	6.27
Q9FH46	Signal recognition particle subunit SRP68 OS=Arabidopsis thaliana OX=3702 GN=At5g61970 PE=1 SV=1	68.8	8.84
O80977	Vacuolar-sorting receptor 3 OS=Arabidopsis thaliana OX=3702 GN=VSR3 PE=2 SV=1	69.7	5.36
Q9SJ12	Probable ATP synthase 24 kDa subunit, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At2g21870 PE=1 SV=1	27.6	6.67
O81283	Translocase of chloroplast 159, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TOC159 PE=1 SV=1	160.7	4.55
Q9XIK4	RNA cytidine acetyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=At1g10490 PE=2 SV=2	115.5	7.33
Q9LY32	ATPase 7, plasma membrane-type OS=Arabidopsis thaliana OX=3702 GN=AHA7 PE=3 SV=1	105.5	6.84
Q9SZD4	26S proteasome regulatory subunit 4 homolog A OS=Arabidopsis thaliana OX=3702 GN=RPT2A PE=1 SV=1	49.3	6.21
O04019	26S proteasome regulatory subunit 6A homolog B OS=Arabidopsis thaliana OX=3702 GN=RPT5B PE=1 SV=3	47	5.02
F4K7C5	Myosin 2 OS=Arabidopsis thaliana OX=3702 GN=MYA2 PE=1 SV=1	176.8	7.84
F4KCC2	E3 ubiquitin-protein ligase PRT6 OS=Arabidopsis thaliana OX=3702 GN=PRT6 PE=1 SV=1	223.8	6.62
Q9ZT71	Protein STABILIZED1 OS=Arabidopsis thaliana OX=3702 GN=STA1 PE=1 SV=1	115.5	7.24
Q9SGW3	26S proteasome non-ATPase regulatory subunit 8 homolog A OS=Arabidopsis thaliana OX=3702 GN=RPN12A PE=1 SV=1	30.7	4.91
Q9S7J8	Copper-transporting ATPase RAN1 OS=Arabidopsis thaliana OX=3702 GN=RAN1 PE=1 SV=1	107.3	5.19
Q96290	Monosaccharide-sensing protein 1 OS=Arabidopsis thaliana OX=3702 GN=MSSP1 PE=1 SV=2	79.4	5.41
A0A1P8AV08	Aspartic proteinase A1 OS=Arabidopsis thaliana OX=3702 GN=APA1 PE=1 SV=1	56	5.67
O04658	Probable nucleolar protein 5-1 OS=Arabidopsis thaliana OX=3702 GN=NOP5-1 PE=1 SV=2	58.7	9.28
O04499	2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1 OS=Arabidopsis thaliana OX=3702 GN=PGM1 PE=1 SV=3	60.5	5.53
Q9SU58	ATPase 4, plasma membrane-type OS=Arabidopsis thaliana OX=3702 GN=AHA4 PE=2 SV=2	105.7	6.52
Q9SL67	26S proteasome regulatory subunit 4 homolog B OS=Arabidopsis thaliana OX=3702 GN=RPT2B PE=1 SV=1	49.3	6.1
Q9LHA4	V-type proton ATPase subunit d2 OS=Arabidopsis thaliana OX=3702 GN=VHA-d2 PE=2 SV=1	40.8	5.11
O23179	Patatin-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=PLP1 PE=1 SV=2	45.8	6.81
P56765	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=accD PE=1 SV=2	55.6	6.24
Q9XIE6	Phospholipid-transporting ATPase 3 OS=Arabidopsis thaliana OX=3702 GN=ALA3 PE=1 SV=2	137.7	7.68
F4K3R8	Voltage dependent anion channel 2 OS=Arabidopsis thaliana OX=3702 GN=VDAC2 PE=1 SV=1	32.9	7.58
Q8LD03	40S ribosomal protein S7-3 OS=Arabidopsis thaliana OX=3702 GN=RPS7C PE=1 SV=2	22	9.74
P49040	Sucrose synthase 1 OS=Arabidopsis thaliana OX=3702 GN=SUS1 PE=1 SV=3	92.9	6.2
Q7XJJ7	Fatty acid amide hydrolase OS=Arabidopsis thaliana OX=3702 GN=FAAH PE=1 SV=1	66	6.61
Q9C5X3	SNARE-interacting protein KEULE OS=Arabidopsis thaliana OX=3702 GN=KEU PE=1 SV=2	75	7.94
Q9ASZ4	AT3g17900/MEB5_12 OS=Arabidopsis thaliana OX=3702 GN=At3g17900 PE=1 SV=1	91.5	5.78
A0A1P8BAU5	Glycosyl hydrolases family 31 protein OS=Arabidopsis thaliana OX=3702 GN=RSW3 PE=1 SV=1	107.3	6.3
Q9S7Y7	Alpha-xylosidase 1 OS=Arabidopsis thaliana OX=3702 GN=XYL1 PE=1 SV=1	102.3	6.77
Q9LJE4	Chaperonin 60 subunit beta 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CPN60B2 PE=1 SV=1	63.3	5.73
F4KG14	Guanylate-binding family protein OS=Arabidopsis thaliana OX=3702 GN=MCL19.12 PE=1 SV=1	122.7	6.64
Q9M292	Nicalin OS=Arabidopsis thaliana OX=3702 GN=T22K7_10 PE=1 SV=1	62.2	6.42
Q8L7D2	Subtilisin-like protease SBT4.12 OS=Arabidopsis thaliana OX=3702 GN=SBT4.12 PE=2 SV=1	78	8.97
P49204	40S ribosomal protein S4-2 OS=Arabidopsis thaliana OX=3702 GN=RPS4B PE=2 SV=4	29.9	10.17
P53496	Actin-11 OS=Arabidopsis thaliana OX=3702 GN=ACT11 PE=1 SV=1	41.6	5.39
F4HXV6	Nuclear pore complex protein NUP155 OS=Arabidopsis thaliana OX=3702 GN=NUP155 PE=1 SV=1	159.9	5.48
Q8L7E3	Vacuolar-sorting receptor 7 OS=Arabidopsis thaliana OX=3702 GN=VSR7 PE=2 SV=2	69.8	5.67
O04151	Calreticulin-1 OS=Arabidopsis thaliana OX=3702 GN=CRT1 PE=1 SV=1	48.5	4.6
Q9SK84	Phospho-2-dehydro-3-deoxyheptonate aldolase OS=Arabidopsis thaliana OX=3702 GN=At1g22410 PE=1 SV=1	58.3	8.32
F4JC97	Proteasome activator subunit 4 OS=Arabidopsis thaliana OX=3702 GN=PA200 PE=2 SV=2	202.8	6.76
F4HQE7	Coatomer subunit beta' OS=Arabidopsis thaliana OX=3702 GN=At1g79990 PE=1 SV=1	102.9	5.03
Q9CAV0	40S ribosomal protein S3a-1 OS=Arabidopsis thaliana OX=3702 GN=RPS3AA PE=1 SV=3	29.8	9.76
F4J5T2	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Arabidopsis thaliana OX=3702 GN=LTA3 PE=1 SV=1	77.8	6.21
Q9M9M4	Cellulose synthase-like protein D3 OS=Arabidopsis thaliana OX=3702 GN=CSLD3 PE=1 SV=1	128.5	7.75
P21238	Chaperonin 60 subunit alpha 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CPN60A1 PE=1 SV=2	62	5.19
Q9LJI5	V-type proton ATPase subunit d1 OS=Arabidopsis thaliana OX=3702 GN=VHA-d1 PE=1 SV=1	40.8	5.16
P31167	ADP,ATP carrier protein 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=AAC1 PE=1 SV=2	41.4	9.83
Q9ZVH4	Cullin-3A OS=Arabidopsis thaliana OX=3702 GN=CUL3A PE=1 SV=1	85.3	7.88
Q8LPJ4	ABC transporter E family member 2 OS=Arabidopsis thaliana OX=3702 GN=ABCE2 PE=2 SV=1	68.3	7.96
O81108	Calcium-transporting ATPase 2, plasma membrane-type OS=Arabidopsis thaliana OX=3702 GN=ACA2 PE=1 SV=1	110.4	5.68
Q8RWY6	CLIP-associated protein OS=Arabidopsis thaliana OX=3702 GN=CLASP PE=1 SV=1	158.9	7.14
Q9FI56	Chaperone protein ClpC1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CLPC1 PE=1 SV=1	103.4	6.77
O04379	Protein argonaute 1 OS=Arabidopsis thaliana OX=3702 GN=AGO1 PE=1 SV=1	116.1	9.29
F4IEK8	PII, uridylyltransferase (DUF2921) OS=Arabidopsis thaliana OX=3702 GN=At1g52780 PE=1 SV=1	119.9	7.33
