Protein	Subcellular.location	Transmembrane	log2_rbohC	log2_rbohF	log2_WT	Protein.names
F4K3R8	Mitochondrion		0	0	-6.64	Voltage dependent anion channel 2
Q9C9Q5	Golgi apparatus membrane; Single-pass type II membrane protein.	TRUE	0	0	6.64	Arabinosyltransferase RRA2 (EC 2.4.2.-) (Protein REDUCED RESIDUAL ARABINOSE 1)
Q8L466	Unknown		0	0	-4.62	At1g24050/T23E23_11 (RNA-processing, Lsm domain-containing protein)
F4ISB3	Extracellular	TRUE	0	0	6.64	Glycosyltransferase family 61 protein
Q9LXZ4	Cytoplasm		0	0	1.79	GroES-like zinc-binding alcohol dehydrogenase family protein (Putative quinone reductase) (Quinone reductase-like protein)
Q8LAD0	Cytoplasm.		0	0	-2.64	Probable pyridoxal 5'-phosphate synthase subunit PDX2 (AtPDX2) (EC 4.3.3.6) (Protein EMBRYO DEFECTIVE 2407) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)
A0A1P8B6J9	Unknown		0	0	-3.96	Sensitive to freezing 6
Q56YA5	Peroxisome.		0	0	-5.07	Serine--glyoxylate aminotransferase (EC 2.6.1.45) (Alanine--glyoxylate aminotransferase) (AGT) (EC 2.6.1.44) (Asparagine aminotransferase) (EC 2.6.1.-) (Serine--pyruvate aminotransferase) (EC 2.6.1.51)
F4IUD7	Chloroplast		0	0	-4.51	protein-serine/threonine phosphatase (EC 3.1.3.16)
Q9M1C9	Unknown		0	0	6.64	Beta-glucosidase 30 (AtBGLU30) (EC 3.2.1.21) (Protein DARK INDUCIBLE 2) (Protein SENESCENCE-RELATED GENE 2)
Q94AM8	Unknown	TRUE	0	0	-2.14	Ubiquitin-associated protein (DUF1068) (Uncharacterized protein At4g30996)
Q7Y232	Chloroplast		0	0	6.64	UDP-glycosyltransferase 73B4 (EC 2.4.1.-) (Flavonol 3-O-glucosyltransferase UGT73B4) (EC 2.4.1.91)
Q9SIU2	Nucleus. Cytoplasm. Predominantly nuclear.		0	0	3	Nuclear cap-binding protein subunit 1 (80 kDa nuclear cap-binding protein) (AtCBP80) (NCBP 80 kDa subunit) (Abscisic acid-hypersensitive protein 1) (ABA-hypersensitive protein 1) (Protein ENSALADA)
Q9FJK7	Nucleus		0	0	-3.59	Cyclin-C1-2 (CycC1;2)
Q8VY59	Extracellular		0	0	-2.29	At3g27200 (Blue copper protein, putative) (Cupredoxin superfamily protein)
O23339	Cytoplasm		0	0	-6.64	At4g14840 (Spindle assembly abnormal protein) (Uncharacterized protein AT4g14840) (Uncharacterized protein dl3460c)
A0A1P8B4R8	Membrane; Single-pass membrane protein.	TRUE	0	0	6.64	Cysteine-rich RLK (RECEPTOR-like protein kinase) 12
Q9SB75	Golgi apparatus membrane; Multi-pass membrane protein.	TRUE	0	0	5.36	Probable xyloglucan glycosyltransferase 5 (EC 2.4.1.-) (Cellulose synthase-like protein C5) (AtCslC5)
Q941F1	Plastid, chloroplast.		0	0	-5.21	Phospholipase A1-Igamma1, chloroplastic (EC 3.1.1.-) (DAD1-like lipase 4)
B6ETT4	Golgi apparatus membrane; Single-pass membrane protein.	TRUE	0	0	6.64	Synaptotagmin-2 (NTMC2T1.2) (Synaptotagmin B)
Q93V62	Unknown		0	0	2.41	AT4g27450/F27G19_50 (Aluminum induced protein with YGL and LRDR motifs) (Uncharacterized protein At4g27450)
Q8VXY1	Unknown		0	0	6.64	Glycine-rich protein (Uncharacterized protein At5g28630)
Q9LZ83	Cytoplasm		0	0	6.64	AT5G04420 protein (At5g04420) (Galactose oxidase/kelch repeat superfamily protein) (Uncharacterized protein T32M21_20)
Q9C7X7	Chloroplast		0	0	-4.13	Heat shock 70 kDa protein 18 (Heat shock protein 70-18) (AtHsp70-18) (Heat-shock protein 70T-1)
Q9M0A0	Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side.		0	0	-3.54	AT4g30600/F17I23_60 (Signal recognition particle receptor alpha subunit family protein) (Signal recognition particle receptor-like protein)
Q9FIC6	Secreted, extracellular space, apoplast.		0	0	3.86	Germin-like protein subfamily 1 member 17
Q9FKM2	Cell membrane. Mitochondrion outer membrane. Also localized in other unidentified cellular compartments.		0	0	2.2	Mitochondrial outer membrane protein porin 4 (Voltage-dependent anion-selective channel protein 4) (AtVDAC4) (VDAC-4)
F4HUA0	Cytoplasm		0	0	-2.42	GTP binding Elongation factor Tu family protein
Q9XIG1	Nucleus		0	0	2.76	Sterol 3-beta-glucosyltransferase UGT80B1 (EC 2.4.1.173) (Protein TRANSPARENT TESTA 15) (UDP-glucose:sterol glucosyltransferase 80B1)
A0A1I9LPI4	Chloroplast	TRUE	0	0	-6.64	Sodium Bile acid symporter family
Q9SKI2	Endosome.		0	0	-3.99	Vacuolar protein sorting-associated protein 2 homolog 1 (AtVPS2-1) (Charged multivesicular body protein 2 homolog 1) (ESCRT-III complex subunit VPS2 homolog 1) (SNF7-like protein)
Q84JF7	Plastid, chloroplast.		0	0	-4.06	Probable adenylate kinase 6, chloroplastic (EC 2.7.4.3) (ATP-AMP transphosphorylase 6) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase 6) (AMK6)
O22287	Cytoplasm. Nucleus.		0	0	2.13	Mannose-1-phosphate guanylyltransferase 1 (EC 2.7.7.13) (GDP-mannose pyrophosphorylase 1) (Protein CYTOKINESIS DEFECTIVE 1) (Protein EMBRYO DEFECTIVE 101) (Protein HYPERSENSITIVE TO AMMONIUM ION 1) (Protein SENSITIVE TO OZONE 1) (Protein VITAMIN C DEFECTIVE 1)
B3H7F6	Nucleus		0	0	3.61	Time for coffee
Q8GXA4	Nucleus envelope. Nucleus membrane; Single-pass membrane protein; Cytoplasmic side. Targeted to the nuclear envelope (NE) during interphase. Associated to the cell plate during cytokinesis in root tips.	TRUE	0	0	6.27	WPP domain-interacting protein 1
Q9LUZ6	Membrane; Single-pass type II membrane protein.	TRUE	0	0	6.64	Protein PMR5 (Powdery mildew resistance protein 5) (Protein trichome birefringence-like 44)
O65398	Mitochondrion, Chloroplast		0	0	-2.94	Lactoylglutathione lyase GLX1 (EC 4.4.1.5) (Glyoxalase I) (AtGLX1) (GlyI)
F4ICG2	Cytoplasm		0	0	6.64	Glutamine-tRNA ligase, putative / glutaminyl-tRNA synthetase, putative / GlnRS
A0A1P8ATB0	Membrane; Multi-pass membrane protein.	TRUE	0	0	-5.03	ZIP metal ion transporter family
Q9LQZ4	Nucleus.		0	0	-6.64	At1g75700 (F10A5.27) (Putative transcription initiation factor) (TFIIF-beta 2) (Transcription initiation factor IIF, beta subunit)
F4HY56	Nucleus.		0	0	2.62	Homeobox-DDT domain protein RLT1 (Protein HOMEOBOX-1) (Protein RINGLET 1)
F4IB81	Cell membrane; Single-pass membrane protein.	TRUE	0	0	-6.64	LysM domain receptor-like kinase 3 (LysM-containing receptor-like kinase 3) (EC 2.7.11.-)
A0A1P8AY74	Nucleus		0	0	6.64	Flocculation FLO11-like protein
Q9LIM8	Unknown		0	0	6.64	Powdery mildew resistance protein, RPW8 domain-containing protein
Q9LPU6	Nucleus		0	0	3.42	Indole glucosinolate O-methyltransferase 3 (EC 2.1.1.-)
Q2V3E2	Nucleus		0	0	-6.64	Protein yippee-like At4g27740
O82647	Chloroplast		0	0	-1.85	Pyruvate decarboxylase 1 (AtPDC1) (EC 4.1.1.1)
Q9SSQ9	Cytoplasm. Membrane; Peripheral membrane protein. Vacuole. Cytoplasmic vesicle, clathrin-coated vesicle. Found in vacuoles and also associated with plasma, microsomal and mitochondrial membranes and in clathrin-coated vesicles. Not found in chloroplast or nuclei. Activation increases association of preexisting enzyme with membranes. The distribution of this conventional PLD between membrane-associated and soluble fractions varied from organ to organ and is calcium-regulated.		0	0	-6.64	Phospholipase D alpha 2 (AtPLDalpha2) (PLD alpha 2) (EC 3.1.4.4) (Choline phosphatase 2) (Phosphatidylcholine-hydrolyzing phospholipase D 2)
F4IWW1	Nucleus		0	0	-3.24	AP-3 complex subunit beta
F4HX45	Cell_membrane		0	0	6.64	AAA-type ATPase family protein
F4JTF6	Nucleus.		0	0	6.64	CHD3-type chromatin-remodeling factor CHR7 (EC 3.6.4.-) (Protein CHROMATIN REMODELING 7) (Protein PICKLE RELATED 2)
Q8GZ87	Nucleus. Cytoplasm, cytoskeleton. Associates to cortical microtubules (MTs).		0	0	1.85	Protein IQ-DOMAIN 28 (AtIQD28)
Q9ZQR4	Membrane; Multi-pass membrane protein.	TRUE	0	0	6.64	DUF21 domain-containing protein At2g14520 (CBS domain-containing protein CBSDUF3)
Q9SRE4	Golgi apparatus membrane; Multi-pass membrane protein.	TRUE	0	0	-5.47	UDP-rhamnose/UDP-galactose transporter 1 (UDP-Rha/UDP-Gal transporter 1) (UDP-galactose transporter 2) (At-UDP-GalT2)
Q6NPS1	Nucleus		0	0	6.36	At1g61690 (Phosphoinositide binding protein) (Uncharacterized protein At1g61690)
A0A1I9LPC2	Cell_membrane		0	0	-6.64	Mitogen-activated protein kinase kinase kinase 6
Q058G5	Unknown		0	0	6.64	At1g61410 (DNA double-strand break repair and VJ recombination XRCC4)
Q9SUT5	Cytoplasm. Nucleus.		0	0	4.73	Protein SGT1 homolog B (AtSGT1b) (Protein ENHANCED DOWNY MILDEW 1) (Protein ENHANCER OF TIR1-1 AUXIN RESISTANCE 3) (Suppressor of G2 allele of SKP1 homolog B)
A0A1P8ATC6	Extracellular	TRUE	0	0	6.64	Receptor-like serine/threonine-protein kinase (EC 2.7.11.1)
O82221	Nucleus.		0	0	-6.64	Probable small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG)
Q7XA68	Unknown		0	0	-1.84	At1g01640 (Ribosomal protein L13 family protein) (Uncharacterized protein At3g01790)
Q9SJW6	Cytoplasm, cytoskeleton.		0	0	-6.64	Actin-related protein 2/3 complex subunit 1B (Actin-related protein C1) (Actin-related protein C1B) (Arp2/3 complex 41 kDa subunit) (p41-ARC)
Q39162	Nucleus.		0	0	6.64	Transcription factor TGA4 (Ocs element-binding factor 4) (OBF4) (bZIP transcription factor 57) (AtbZIP57)
Q9LR65	Unknown		0	0	3.77	Probable protein phosphatase 2C 1 (AtPP2C01) (EC 3.1.3.16) (AtPPC6;6)
A0A1P8AXX8	Nucleus		0	0	-3.99	PEST proteolytic signal-containing nuclear protein
Q8VZL1	Unknown		0	0	-2.44	Myosin (Uncharacterized protein At5g13260)
Q29Q26	Cytoplasm. Nucleus. Plastid, chloroplast outer membrane; Peripheral membrane protein; Cytoplasmic side.		0	0	-1.6	Ankyrin repeat domain-containing protein 2B
Q8L831	Cytoplasm		0	0	3.24	Nudix hydrolase 3 (AtNUDT3) (EC 3.6.1.-)
Q8GYC1	[Isoform 1]: Plastid, chloroplast.; [Isoform 2]: Nucleus.		0	0	-4.37	Protein indeterminate-domain 4, chloroplastic
Q9FXA2	Cytoplasm. Nucleus.		0	0	-3.25	Polyadenylate-binding protein 8 (PABP-8) (Poly(A)-binding protein 8)
Q84VZ5	Cell membrane; Lipid-anchor, GPI-anchor.		0	0	3.66	Uncharacterized GPI-anchored protein At5g19240
Q9C5L6	Membrane; Multi-pass membrane protein.	TRUE	0	0	3.54	Major facilitator superfamily protein (Uncharacterized protein At5g10190)
Q9FLB4	Nucleus		0	0	-3.35	Putative disease resistance protein At5g05400
Q38903	Cytoplasm. Membrane; Peripheral membrane protein. Associated with the membrane when activated.		0	0	5.27	Rac-like GTP-binding protein ARAC2 (GTPase protein ROP7)
Q681W7	Unknown		0	0	-3.56	SEC-C motif protein (Uncharacterized protein At3g04950)
A0A1P8B863	Cytoplasm, Nucleus	TRUE	0	0	-3.12	Nucleoporin
Q39230	Cytoplasm, cytosol.		0	0	-2.61	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)
Q42534	Secreted, cell wall.		0	0	-3.04	Pectinesterase 2 (PE 2) (EC 3.1.1.11) (Pectin methylesterase 2) (AtPME2)
Q93YQ5	Nucleus	TRUE	0	0	3.49	RING/U-box superfamily protein (Uncharacterized protein At3g61180; T20K12.80)
F4I270	Unknown	TRUE	0	0	-6.55	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6)
Q9C7H2	Unknown	TRUE	0	0	-3.18	Threonylcarbamoyladenosine tRNA methylthiotransferase (EC 2.8.4.5) (tRNA-t(6)A37 methylthiotransferase)
Q8VWF5	Unknown		0	0	3.52	Protein MEI2-like 5 (AML5) (MEI2-like protein 5)
A0A1P8B137	Unknown		0	0	3.26	Integrin-linked protein kinase family
Q9LU74	Nucleus, Chloroplast		0	0	-2.97	AT5g57120/MUL3_6 (Nucleolar/coiled-body phosphoprotein)
F4K1S1	Nucleus.		0	0	-2.7	Structural maintenance of chromosomes protein
Q941R7	Nucleus		0	0	4.24	Major latex-like protein (Polyketide cyclase/dehydrase and lipid transport superfamily protein) (Putative Csf-2-related protein) (Uncharacterized protein At1g70880/F15H11_28)
O82251	Plastid, chloroplast inner membrane; Multi-pass membrane protein.	TRUE	0	0	3.36	Protein TIC 20-II, chloroplastic (Translocon at the inner envelope membrane of chloroplasts 20-II) (AtTIC20-II)
Q93V58	Cytoplasm. Nucleus. Restricted to the nucleus in cells infected by geminivirus.		0	0	-2.82	Serine/threonine-protein kinase GRIK1 (EC 2.7.11.1) (Protein GEMINIVIRUS REP INTERACTING KINASE 1) (Protein GRIK1) (SnRK1-activating protein kinase 2) (AtSnAK2)
Q9ZPS9	Cell membrane; Single-pass type I membrane protein.	TRUE	0	0	-3.34	Serine/threonine-protein kinase BRI1-like 2 (EC 2.7.11.1) (BRASSINOSTEROID INSENSITIVE 1-like protein 2) (Protein VASCULAR HIGHWAY 1)
Q7XA86	Vacuole membrane; Multi-pass membrane protein. Transient expression results in mistargeting of PAT10 to the Golgi apparatus, while the non-functional mutant is also localized in Golgi apparatus membranes.	TRUE	0	0	3.84	Protein S-acyltransferase 10 (EC 2.3.1.225) (Probable palmitoyltransferase At3g51390) (Zinc finger DHHC domain-containing protein At3g51390)
A8MRF3	Cytoplasm	TRUE	0	0	-2.63	60S ribosomal protein L18A-1
F4JV35	Membrane; Multi-pass membrane protein.	TRUE	0	0	-5	Potassium channel
Q8GYM6	Nucleus		0	0	2.45	Cyclin-T1-4 (CycT1;4) (Protein AtCycT-like2)
Q9SAE3	Membrane; Single-pass membrane protein.	TRUE	0	0	2.07	Cytochrome P450 71B28 (EC 1.14.-.-)
Q93ZR3	Nucleus.		0	0	-2.63	Pre-mRNA-processing factor 39-1 (AtPRP39-1) (PRP39 homolog A) (Pre-mRNA-processing factor 39a)
A9X4U2	Endoplasmic reticulum membrane; Multi-pass membrane protein.	TRUE	0	0	-2.67	3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 3 (At3BETAHSD/D3) (EC 1.1.1.170) (4alpha-carboxysterol-C3-dehydrogenase/C4-decarboxylase isoform 1-3) (Reticulon-like protein B20) (AtRTNLB20) (Sterol-4-alpha-carboxylate 3-dehydrogenase 3, decarboxylating)
Q9LHN8	Cytoplasm		0	0	2.9	Feruloyl CoA ortho-hydroxylase 1 (EC 1.14.11.61)
A0A1I9LQT2	Nucleus		0	0	-2.99	Anaphase-promoting complex subunit 8
F4JXW2	Nucleus		0	0	-2.85	Coiled-coil protein
Q93Z53	Plastid, chloroplast stroma.		0	0	2.63	Plastidial pyruvate kinase 3, chloroplastic (PKp3) (EC 2.7.1.40) (Pyruvate kinase I) (Pyruvate kinase isozyme B2, chloroplastic) (PKP-BETA2) (Plastidic pyruvate kinase beta subunit 2)
A0A2H1ZEG1	Golgi apparatus membrane; Single-pass type II membrane protein.	TRUE	0	0	2.7	Hexosyltransferase (EC 2.4.1.-)
A0A1P8AVK4	Nucleus, Mitochondrion		0	0	4.12	Disease resistance protein (CC-NBS-LRR class) family
Q9SI49	Unknown	TRUE	0	0	-3.69	Cytochrome P450, family 705, subfamily A, polypeptide 13 (Putative cytochrome P450)
O22823	Cytoplasm. Nucleus.		0	0	2.91	Sm-like protein LSM36B (AtLSM6B) (U6 snRNA-associated Sm-like protein LSM6B)
Q4PSF4	Late endosome membrane; Multi-pass membrane protein.	TRUE	0	0	4.19	Protein DETOXIFICATION 52 (AtDTX52) (Multidrug and toxic compound extrusion protein 52) (MATE protein 52) (Protein ABNORMAL SHOOT 3-like 2)
Q4V3A2	Membrane; Single-pass type II membrane protein.	TRUE	0	0	-2.72	At5g16170 (Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein) (Glycosyltransferase)
F4IDB2	Nucleus. Nucleus, nuclear body. Cytoplasmic granule. Cytoplasm. Circadian clock-regulated subcellular localization. During the night, mainly present in the cytoplasm. During the day, moves and accumulates progressively in the nuclei.		0	0	3.63	Protein PHYTOCHROME-DEPENDENT LATE-FLOWERING
Q9LTS6	Mitochondrion. Plastid, chloroplast.		0	0	1.81	30S ribosomal protein S16-2, chloroplastic/mitochondrial
Q9FFG5	Unknown		0	0	3.18	At5g05500 (Pollen Ole e 1 allergen and extensin family protein)
F4JNM2	Nucleus		0	0	-2.01	Regulator of Vps4 activity in the MVB pathway protein
F4IAN4	Membrane; Multi-pass membrane protein.	TRUE	0	0	-3.15	3-oxo-5-alpha-steroid 4-dehydrogenase (DUF1295)
Q9SU83	Nucleus	TRUE	0	0	1.98	Alkaline-phosphatase-like family protein (Nucleotide pyrophosphatase-like protein (EC 3.6.1.9)) (Uncharacterized protein At4g29680)
Q8VY01	Secreted.		0	0	2.57	Serine carboxypeptidase-like 46 (EC 3.4.16.-)
Q9XF67	Cytoplasm. Membrane; Peripheral membrane protein. Membrane-associated after cell stimulation.		0	0	-2.68	3-phosphoinositide-dependent protein kinase 1 (AtPDK1) (EC 2.7.11.1)
Q8VZ80	Cell membrane; Multi-pass membrane protein.	TRUE	0	0	-1.56	Polyol transporter 5 (Protein POLYOL TRANSPORTER 5) (AtPLT5) (Sugar-proton symporter PLT5)
Q9SVC2	Membrane; Single-pass type IV membrane protein.	TRUE	0	0	-2.27	Syntaxin-122 (AtSYP122) (Synt4)
F4I600	Mitochondrion		0	0	-2.97	Vacuolar ATP synthase catalytic subunit-related / V-ATPase-related / vacuolar proton pump-like protein
Q9LUE5	Chloroplast		0	0	4.05	At5g50760 (Emb|CAB86483.1) (SAUR-like auxin-responsive protein family)
F4K2Y3	Extracellular		0	0	-2.43	Alpha/beta-Hydrolases superfamily protein
Q8VZF6	Endoplasmic reticulum membrane; Single-pass membrane protein. Cell membrane; Single-pass membrane protein. Endosome membrane; Single-pass membrane protein.	TRUE	0	0	1.68	Protein ENHANCED DISEASE RESISTANCE 2-like
Q9FR95	Nucleus		0	0	-2.41	Arabidiol synthase (EC 4.2.1.124) (Pentacyclic triterpene synthase 1) (AtPEN1)
Q94AL6	Unknown		0	0	3.26	Excitatory amino acid transporter (Uncharacterized protein At4g20150)
Q9SCQ4	Unknown		0	0	5.12	Protein kinase ATN1-like protein (Protein kinase superfamily protein)
Q9LUJ5	Nucleus, nucleolus.		0	0	-2.34	Probable rRNA-processing protein EBP2 homolog
Q9FHA3	Nucleus.		0	0	2.11	DNA polymerase alpha catalytic subunit (EC 2.7.7.7)
Q9SVZ8	Membrane; Single-pass type II membrane protein.	TRUE	0	0	-1.29	At4g25870 (Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein) (Glycosyltransferase) (Uncharacterized protein AT4g25870)
F4J298	Nucleus.		0	0	2.79	Fibronectin type III domain protein (DUF1423)
Q9XHZ8	Cytoplasm		0	0	1.86	BTB/POZ domain-containing protein At1g21780
F4IB95	Extracellular		0	0	1.84	Jacalin-related lectin 9
F4ITL6	Endoplasmic reticulum membrane; Multi-pass membrane protein. Golgi apparatus membrane; Multi-pass membrane protein.	TRUE	0	0	-3.36	Protein REVERSION-TO-ETHYLENE SENSITIVITY1
Q9FKA4	Secreted.		0	0	3.28	Peroxidase 62 (Atperox P62) (EC 1.11.1.7) (ATP24a)
Q84JU6	Nucleus. Cytoplasm. Nuclear after cold treatment. Cytoplasmic when plant are grown or returned to normal growth temperatures.		0	0	2.18	E3 ubiquitin-protein ligase HOS1 (EC 2.3.2.27) (Protein HIGH EXPRESSION OF OSMOTICALLY RESPONSIVE GENE 1) (RING finger protein HOS1) (RING-type E3 ubiquitin transferase HOS1)
O49213	Cytoplasm		0	0	-1.67	GDP-L-fucose synthase 1 (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase 1) (AtFX) (AtGER1)
Q7Y1W1	Plastid, chloroplast inner membrane.		0	0	-1.14	Protein TIC 56, chloroplastic (Translocon at the inner envelope membrane of chloroplasts 56) (AtTIC56)
F4I7I0	Mitochondrion.		0	0	2.25	Alanine aminotransferase 1, mitochondrial (AtAlaAT1) (AtAlaATc) (EC 2.6.1.2) (Alanine-2-oxoglutarate aminotransferase 4) (EC 2.6.1.-)
A0A1I9LTA1	Nucleus.		0	0	2.56	BAH and TFIIS domain-containing protein
Q9FKM8	Chloroplast	TRUE	0	0	-2.54	Similarity to disease resistance protein (Toll-Interleukin-Resistance (TIR) domain family protein)
Q93ZI1	Unknown		0	0	-3.96	AT3g12300/F28J15_117 (Cilia/flagella-associated protein)
O80625	Nucleus		0	0	2.82	Exocyst subunit Exo70 family protein
A0A1P8AR36	Extracellular		0	0	2.45	Mannose-binding lectin superfamily protein
Q7X6P3	Plastid, chloroplast membrane; Multi-pass membrane protein.	TRUE	0	0	-3.32	Protein root UVB sensitive 1, chloroplastic (Protein WEAK AUXIN RESPONSE 3)
Q9M314	Chloroplast		0	0	-1.52	AT3g61540/F2A19_140 (Alpha/beta-Hydrolases superfamily protein) (Prolyl aminopeptidase-like protein)
C0LGJ9	Membrane; Single-pass type I membrane protein.	TRUE	0	0	-2.55	Probable LRR receptor-like serine/threonine-protein kinase At2g02780 (EC 2.7.11.1)
F4JU09	Unknown		0	0	3.45	Toll-Interleukin-Resistance (TIR) domain family protein
Q94AI6	Cytoplasm, cytosol. Cell membrane. Cytoplasm, cytoskeleton, phragmoplast. Secreted, cell wall. Secreted, extracellular exosome. During cytokinesis, localizes to the nascent cell plate and later to the cell plate insertion site and along the post-cytokinetic wall (PubMed:20870962). Shuttles from the cytoplasm to the exocyst-positive organelle (EXPO) in the presence of EXO70E2 (PubMed:24307681).		0	0	1.91	Exocyst complex component SEC6 (AtSec6)
Q9SF34	Nucleus		0	0	2.1	Alpha/beta-Hydrolases superfamily protein (At3g09690) (Uncharacterized protein At3g09690) (Uncharacterized protein F11F8_28)
Q9FI39	Membrane; Single-pass membrane protein.	TRUE	0	0	2.13	Cytochrome P450 705A5 (EC 1.14.-.-) (Thalian-diol desaturase) (AtTHAD)
Q8VYA5	Nucleus speckle.		0	0	-1.78	Serine/arginine-rich splicing factor RS2Z33 (RS-containing zinc finger protein 33) (At-RS2Z33) (At-RSZ33) (AtRSZ33)
Q0WW84	Nucleus. Cytoplasmic granule.		0	0	-2.07	Polyadenylate-binding protein RBP47B (Poly(A)-binding protein RBP47B) (RNA-binding protein 47B) (AtRBP47B)
Q9FKS8	Cell membrane; Multi-pass membrane protein.	TRUE	0	0	-1.41	Lysine histidine transporter 1
Q9LMS7	Cytoplasm		0	0	-1.95	T10F20.8 protein (Translation elongation factor EF1A/initiation factor IF2gamma family protein)
Q7PC79	Nucleus. Cytoplasm. Shuttles between the nucleus and the cytoplasm.		0	0	1.98	Exportin-T (Exportin(tRNA)) (Protein PAUSED) (tRNA exportin)
Q9ZUW8	Unknown		0	0	2.74	Cysteine/Histidine-rich C1 domain family protein (Uncharacterized protein At2g27660)
Q9FII7	Nucleus. Chromosome. Associates with chromatin.		0	0	2.57	Structural maintenance of chromosomes protein 6B (DNA repair protein RAD18) (AtRAD18)
A8MSF9	Extracellular		0	0	-1.47	Expansin B3
F4HSX1	Cytoplasm.		0	0	-1.1	adenine phosphoribosyltransferase (EC 2.4.2.7)
Q9FDZ5	Golgi apparatus membrane; Multi-pass membrane protein.	TRUE	0	0	-2.16	UDP-rhamnose/UDP-galactose transporter 6 (UDP-Rha/UDP-Gal transporter 6) (Bi-functional UDP-rhamnose/UDP-galactose transporter)
P93031	Nucleus		0	0	-1.97	GDP-mannose 4,6 dehydratase 2 (EC 4.2.1.47) (GDP-D-mannose dehydratase 2) (GMD 2)
A0A1P8ASX9	Nucleus		0	0	2.36	Immunoglobulin
F4INU4	Nucleus		0	0	-2.37	Phototropic-responsive NPH3 family protein
Q9S9N4	Membrane; Multi-pass membrane protein.	TRUE	0	0	2.53	Magnesium transporter MRS2-1 (Magnesium Transporter 2) (AtMGT2)
Q96291	Plastid, chloroplast.		0	0	2.28	2-Cys peroxiredoxin BAS1, chloroplastic (2-Cys Prx A) (2-Cys peroxiredoxin A) (EC 1.11.1.24) (Thiol-specific antioxidant protein A) (Thioredoxin-dependent peroxiredoxin BAS1)
F4ITF9	Nucleus		0	0	-2.21	Regulator of Vps4 activity in the MVB pathway protein
O23156	Unknown		0	0	2.38	Cytochrome P450, family 81, subfamily D, polypeptide 5 (Cytochrome P450-like protein) (Putative cytochrome p450 family protein)
Q8GYC5	Mitochondrion	TRUE	0	0	2.55	At1g24268 (BZIP transcription factor, putative (DUF1664))
Q6ICY4	Vacuole membrane; Multi-pass membrane protein. Tonoplast.	TRUE	0	0	-2.26	Metal tolerance protein C2 (AtMTPc2) (AtMTP5)
Q9LZQ9	Nucleus		0	0	-1.77	Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH2 (EC 3.6.4.13) (DEAH RNA helicase homolog PRP43)
Q9XGW1	Cytoplasm.		0	0	3.21	Protein argonaute 10 (Protein PINHEAD) (Protein ZWILLE)
O22939	Unknown		0	0	2.14	Uncharacterized protein At2g41810
Q9LU41	Membrane; Multi-pass membrane protein.	TRUE	0	0	-2.13	Calcium-transporting ATPase 9, plasma membrane-type (EC 7.2.2.10) (Ca(2+)-ATPase isoform 9)
Q14525	Unknown		0	0	-2.72	Keratin, type I cuticular Ha3-II (Hair keratin, type I Ha3-II) (Keratin-33B) (K33B)
F4HW04	Nucleus.		0	0	2.15	DNA polymerase epsilon catalytic subunit A (EC 2.7.7.7) (DNA polymerase 2 a) (AtPOL2a) (DNA polymerase II subunit a) (Protein ABA OVERLY SENSITIVE a) (Protein EARLY IN SHORT DAYS 7) (Protein EMBRYO DEFECTIVE 142) (Protein EMBRYO DEFECTIVE 2284) (Protein EMBRYO DEFECTIVE 529) (Protein TILTED 1)
A0A2H1ZE60	Membrane; Multi-pass membrane protein.	TRUE	0	0	-2.11	S-acyltransferase (EC 2.3.1.225) (Palmitoyltransferase)
Q9SD05	Vacuole.		0	0	2.22	Protein STRICTOSIDINE SYNTHASE-LIKE 6 (AtSSL6)
Q9FRK5	Membrane; Multi-pass membrane protein.	TRUE	0	0	2.08	Uncharacterized membrane protein At1g75140
Q147R7	Chloroplast		0	0	2.99	At5g44820 (Glycosyltransferase) (Nucleotide-diphospho-sugar transferase family protein)
Q9LTC9	Unknown	TRUE	0	0	2.16	At3g23190 (HR-like lesion-inducing protein) (HR-like lesion-inducing protein-like protein)
F4IIU4	Cytoplasm, cell cortex. Cytoplasm, cytoskeleton, phragmoplast. During interphase, binds cortical microtubules. In M-phase, locates to the preprophase band. During cytokinesis, binds the phragmoplast but not the forming cell plate at the midline, and at a later stage the cortical division site. After cell-plate insertion, enters the new cross-wall.		0	0	1.28	187-kDa microtubule-associated protein AIR9 (Auxin-induced in root cultures protein 9)
Q9ZSU4	Secreted, cell wall. Secreted, extracellular space, apoplast.		0	0	3.26	Xyloglucan endotransglucosylase/hydrolase protein 14 (At-XTH14) (XTH-14) (EC 2.4.1.207)
